# Law Dome (Antarctica) ice-core + firn + Cape Grim CO2 spline, annual global mean.
#
# Source : NOAA/NCEI World Data Service for Paleoclimatology, law2006.txt
#          https://www.ncei.noaa.gov/pub/data/paleo/icecore/antarctica/law/law2006.txt
#          (spline table, columns 5 and 6: "YearAD", "CO2spl"), October 2008 revision.
# Refs   : MacFarling Meure et al. 2006, GRL 33, L14810
#          Etheridge et al. 1996, JGR 101, 4115-4128
#          Etheridge et al. 1998, JGR 103, 15979-15993
# Note   : spline follows Enting (1987); variations shorter than 20 years are
#          attenuated by 50%. Annual values, no seasonal cycle. Downloaded 2026-08-12.
# Use    : orchestration/build_co2_historical.py extends the Mauna Loa monthly record
#          (which starts 1958-03) back to 1951 so historical simulations have a CO2
#          value for every simulated month. Years 1900-2004 retained.
year,co2_ppm
1900,296.1
1901,296.2
1902,296.4
1903,296.7
1904,297.0
1905,297.4
1906,297.9
1907,298.3
1908,298.7
1909,299.1
1910,299.3
1911,299.5
1912,299.8
1913,300.2
1914,300.6
1915,301.1
1916,301.6
1917,302.1
1918,302.6
1919,303.0
1920,303.4
1921,303.7
1922,303.9
1923,304.1
1924,304.4
1925,304.7
1926,305.0
1927,305.4
1928,305.8
1929,306.2
1930,306.6
1931,307.0
1932,307.3
1933,307.6
1934,308.0
1935,308.4
1936,308.7
1937,309.2
1938,309.6
1939,310.1
1940,310.5
1941,310.8
1942,311.0
1943,311.0
1944,311.0
1945,310.9
1946,310.8
1947,310.8
1948,310.9
1949,311.0
1950,311.2
1951,311.5
1952,311.8
1953,312.2
1954,312.8
1955,313.5
1956,314.1
1957,314.7
1958,315.2
1959,315.7
1960,316.1
1961,316.7
1962,317.2
1963,317.8
1964,318.4
1965,319.1
1966,319.9
1967,320.8
1968,321.8
1969,322.8
1970,323.9
1971,325.0
1972,326.1
1973,327.3
1974,328.5
1975,329.6
1976,330.8
1977,332.0
1978,333.2
1979,334.5
1980,335.9
1981,337.3
1982,338.7
1983,340.2
1984,341.7
1985,343.2
1986,344.8
1987,346.3
1988,347.8
1989,349.3
1990,350.8
1991,352.2
1992,353.6
1993,355.0
1994,356.4
1995,358.0
1996,359.6
1997,361.3
1998,363.1
1999,365.0
2000,366.8
2001,368.7
2002,370.6
2003,372.6
2004,374.6
