PointID,NUTS_ID,NUTS_NAME,STATE_NAME,Latitude,Longitude,nearest_grid_id,nearest_latitude,nearest_longitude,distance_deg
2,DEF07,Nordfriesland,Schleswig-Holstein,54.859923,8.411608,C325R23,54.86,8.71,0.2983920099349192
3,DEF07,Nordfriesland,Schleswig-Holstein,54.864382,8.697143,C325R23,54.86,8.71,0.013583238678607022
4,DEF07,Nordfriesland,Schleswig-Holstein,54.866979,8.765298,C331R23,54.86,8.77,0.008415179439561363
5,DEF07,Nordfriesland,Schleswig-Holstein,54.86392,8.959032,C347R23,54.86,8.93,0.029295450568305906
6,DEF07,Nordfriesland,Schleswig-Holstein,54.870685,9.078456,C362R27,54.81999999999999,9.08,0.05070851172141485
7,DEF07,Nordfriesland,Schleswig-Holstein,54.812111,8.656231,C325R27,54.81999999999999,8.71,0.05434465642544774
8,DEF07,Nordfriesland,Schleswig-Holstein,54.784146,8.781083,C333R31,54.779999999999994,8.79,0.009833727929936904
10,DEF07,Nordfriesland,Schleswig-Holstein,54.803011,9.023029,C356R29,54.8,9.02,0.004270943923771762
11,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.798704,9.131924,C367R29,54.8,9.129999999999999,0.002319782748447234
12,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.808544,9.273158,C381R32,54.769999999999996,9.27,0.038673154771755244
14,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.824502,9.553714,C409R27,54.81999999999999,9.55,0.005836248795251458
15,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.81654,9.680758,C422R31,54.779999999999994,9.68,0.03654786127806502
16,DEF07,Nordfriesland,Schleswig-Holstein,54.74231,8.781004,C333R35,54.739999999999995,8.79,0.009287847759305447
17,DEF07,Nordfriesland,Schleswig-Holstein,54.720941,8.944454,C348R37,54.72,8.94,0.004552317761318519
18,DEF07,Nordfriesland,Schleswig-Holstein,54.749338,9.028602,C357R34,54.75,9.030000000000001,0.0015468186706924826
19,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.752138,9.186687,C373R34,54.75,9.19,0.00394297007343597
20,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.748731,9.326536,C387R34,54.75,9.33,0.0036891268614668666
21,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.751597,9.43357,C397R34,54.75,9.43,0.003910921758356785
22,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.733011,9.518467,C406R36,54.73,9.52,0.0033787882443274387
23,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.721614,9.640255,C418R37,54.72,9.64,0.0016340198897232213
24,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.735342,9.787672,C433R36,54.73,9.79,0.0058272247253780135
25,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.741264,9.947288,C448R36,54.73,9.940000000000001,0.013416133571192566
27,DEF07,Nordfriesland,Schleswig-Holstein,54.657675,9.100537,C364R43,54.66,9.1,0.00238620912746452
28,DEF07,Nordfriesland,Schleswig-Holstein,54.639415,9.19323,C373R45,54.64,9.19,0.0032825485525735895
29,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.677056,9.32988,C387R41,54.68,9.33,0.002946444637185061
30,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.673389,9.389749,C393R42,54.669999999999995,9.39,0.0033982822131245123
31,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.661728,9.525341,C407R43,54.66,9.530000000000001,0.004969131211793282
32,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.655959,9.712057,C425R43,54.66,9.71,0.00453441616968985
33,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.650243,9.779615,C432R44,54.65,9.780000000000001,0.00045527354415049215
35,DEF07,Nordfriesland,Schleswig-Holstein,54.580002,8.962885,C350R51,54.58,8.96,0.0028850006932399576
36,DEF07,Nordfriesland,Schleswig-Holstein,54.607705,9.067267,C361R48,54.61,9.07,0.0035687972763929587
37,DEF07,Nordfriesland,Schleswig-Holstein,54.569688,9.207132,C375R52,54.56999999999999,9.21,0.002884920796140351
38,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.602842,9.277642,C382R49,54.599999999999994,9.280000000000001,0.003692848223262275
41,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.596727,9.710273,C425R49,54.599999999999994,9.71,0.0032843656921777153
42,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.612309,9.808044,C435R48,54.61,9.81,0.003026122436389078
43,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.576428,9.93833,C448R51,54.58,9.940000000000001,0.003943105882421961
44,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.567789,13.279875,C784R54,54.55,13.3,0.026860084623843324
46,DEF07,Nordfriesland,Schleswig-Holstein,54.510717,8.926005,C349R53,54.559999999999995,8.95,0.054813995603308525
48,DEF07,Nordfriesland,Schleswig-Holstein,54.49096,9.16235,C370R60,54.489999999999995,9.16,0.0025385231927267044
49,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.499306,9.301223,C384R59,54.5,9.3,0.0014061881097501923
50,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.516585,9.411863,C395R57,54.519999999999996,9.41,0.0038901149083258495
