location,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
2,6,0.150397548,0.4235139661666667,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.228399382,0.178880761,0.16914679,0.169603799,0.078177278,0.078177278,0.156871791,0.124736643,0.115993304,0.112921492,0.054516786,0.054516786,0.0853442,0.070592524,0.062839818,0.056239184,0.030856294,0.030856294,0.497621645,0.422127666,0.414640767,0.457972263,0.374360728,0.374360728,0.228399382,0.178880761,0.16914679,0.169603799,0.078177278,0.078177278,1.16,1.41,1.45,1.3,1.54,1.54,7.6,7.4,6.5,5.8,2.8,2.8,2.183,2.075,1.151,0.691,0.157,0.157,5,4,3,2,1,0,5,4,3,2,1,0,74.6,74.5,70.7,75.6,91.2,91.2,0.073771358,0.061856603,0.054946794,0.048895284,0.028986157,0.028986157,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
3,6,0.3146425706666667,0.4397911103333334,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.31206897,0.292213902,0.250582763,0.333562561,0.349713614,0.349713614,0.240868705,0.229808448,0.193891941,0.267498832,0.294668471,0.294668471,0.169668439,0.167402993,0.137201118,0.201435103,0.239623329,0.239623329,0.481596649,0.434336607,0.390762714,0.457496772,0.43727696,0.43727696,0.31206897,0.292213902,0.250582763,0.333562561,0.349713614,0.349713614,1.27,1.43,1.57,1.39,1.47,1.47,22.1,23.9,22.1,31.0,38.5,38.5,2.064,1.589,0.574,0.579,0.581,0.581,5,4,3,2,1,0,5,4,3,2,1,0,42.8,40.6,48.5,25.3,19.3,19.3,0.152730677,0.152033636,0.12372455,0.184458438,0.22417989,0.22417989,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
4,6,0.35883094350000005,0.4520254731666667,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.378289385,0.361933574,0.384885194,0.36469966,0.331588924,0.331588924,0.315449658,0.300728132,0.331285427,0.316527343,0.277280503,0.277280503,0.252609932,0.23952269,0.277685659,0.268355026,0.222972082,0.222972082,0.48770665,0.469441089,0.464908451,0.435153307,0.427471671,0.427471671,0.378289385,0.361933574,0.384885194,0.36469966,0.331588924,0.331588924,1.29,1.35,1.37,1.48,1.49,1.49,36.3,35.3,41.5,44.3,35.8,35.8,1.915,1.517,2.22,1.028,0.652,0.652,5,4,3,2,1,0,5,4,3,2,1,0,22.2,22.6,14.0,17.3,26.8,26.8,0.235319484,0.222789592,0.262097778,0.254163995,0.207989374,0.207989374,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
5,6,0.07035414899999999,0.4035235335,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.136358932,0.076220512,0.062085903,0.058244493,0.044607527,0.044607527,0.088789932,0.053136785,0.044713537,0.042549147,0.035099832,0.035099832,0.041220931,0.030053058,0.02734117,0.026853802,0.025592136,0.025592136,0.475190939,0.384319347,0.392490115,0.392456718,0.388342041,0.388342041,0.136358932,0.076220512,0.062085903,0.058244493,0.044607527,0.044607527,1.16,1.47,1.45,1.48,1.6,1.6,2.8,2.6,1.6,1.0,0.4,0.4,3.375,1.701,1.233,1.089,0.674,0.674,5,4,3,2,1,0,5,4,3,2,1,0,94.2,94.5,96.4,97.0,98.9,98.9,0.036586238,0.028374106,0.026446396,0.026120836,0.025321765,0.025321765,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
6,6,0.11711970366666667,0.4428240591666666,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.137220158,0.082993495,0.058604443,0.31248024,0.055709943,0.055709943,0.090285336,0.0575508,0.042718902,0.21255779,0.04085969,0.04085969,0.043350514,0.032108104,0.026833361,0.112635341,0.026009438,0.026009438,0.463060271,0.379324144,0.392916229,0.569579849,0.426031931,0.426031931,0.137220158,0.082993495,0.058604443,0.31248024,0.055709943,0.055709943,1.2,1.48,1.42,0.89,1.35,1.35,5.6,5.4,3.8,13.5,1.8,1.8,2.447,1.166,0.398,3.57,0.241,0.241,5,4,3,2,1,0,5,4,3,2,1,0,91.1,91.7,94.8,79.4,97.9,97.9,0.038375361,0.029929258,0.026104249,0.096051153,0.025556592,0.025556592,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
7,6,0.44437986683333325,0.559366674,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.405945525,0.391568553,0.489426885,0.506898306,0.436219966,0.436219966,0.329875227,0.323046998,0.418296206,0.421418115,0.33841642,0.33841642,0.25380493,0.254525444,0.347165526,0.335937924,0.240612874,0.240612874,0.53847609,0.512855661,0.560186841,0.585453404,0.579614024,0.579614024,0.405945525,0.391568553,0.489426885,0.506898306,0.436219966,0.436219966,1.12,1.2,1.12,1.05,1.01,1.01,33.1,33.7,57.5,56.0,34.7,34.7,2.454,2.571,1.854,1.278,1.16,1.16,5,4,3,2,1,0,5,4,3,2,1,0,21.9,21.8,2.4,2.6,19.5,19.5,0.233714986,0.235995822,0.326052006,0.311405616,0.216554721,0.216554721,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
8,6,0.10771213883333335,0.37801489699999996,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.237055407,0.210359364,0.049079254,0.044092834,0.052842987,0.052842987,0.174810657,0.154721948,0.037616249,0.034868959,0.039635593,0.039635593,0.112565907,0.099084533,0.026153244,0.025645085,0.0264282,0.0264282,0.448415906,0.391193937,0.344047529,0.354771586,0.364830212,0.364830212,0.237055407,0.210359364,0.049079254,0.044092834,0.052842987,0.052842987,1.34,1.53,1.6,1.57,1.61,1.61,14.3,15.7,1.8,1.4,0.7,0.7,2.047,1.684,0.563,0.576,0.589,0.589,5,4,3,2,1,0,5,4,3,2,1,0,65.1,64.4,96.9,97.9,97.3,97.3,0.100002571,0.087296547,0.025679069,0.025357458,0.025851064,0.025851064,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
10,6,0.1084319325,0.3978891053333333,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.23525015,0.18533561,0.077346561,0.063363694,0.04464779,0.04464779,0.160051351,0.127041252,0.05358882,0.04571025,0.035186979,0.035186979,0.084852552,0.068746894,0.02983108,0.028056806,0.025726167,0.025726167,0.518623517,0.459833134,0.400502015,0.34527685,0.331549558,0.331549558,0.23525015,0.18533561,0.077346561,0.063363694,0.04464779,0.04464779,1.07,1.26,1.44,1.65,1.68,1.68,3.9,4.0,1.7,1.2,0.9,0.9,4.179,4.043,1.431,0.432,0.473,0.473,5,4,3,2,1,0,5,4,3,2,1,0,83.0,84.0,94.7,95.2,98.4,98.4,0.073022615,0.059859222,0.028188573,0.026966654,0.025408719,0.025408719,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
11,6,0.11001107833333333,0.4139748211666667,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.219888304,0.176426093,0.069042484,0.050874761,0.071917414,0.071917414,0.149370059,0.118441843,0.049145179,0.038518728,0.05048613,0.05048613,0.078851814,0.060457593,0.029247875,0.026162695,0.029054845,0.029054845,0.509314708,0.474508465,0.346493064,0.382476942,0.385527874,0.385527874,0.219888304,0.176426093,0.069042484,0.050874761,0.071917414,0.071917414,1.08,1.2,1.63,1.48,1.5,1.5,4.2,4.2,2.1,1.8,2.1,2.1,4.691,3.24,0.222,0.157,0.326,0.326,5,4,3,2,1,0,5,4,3,2,1,0,87.2,87.1,93.3,96.5,93.1,93.1,0.067992506,0.0525097,0.027825383,0.025677074,0.027645881,0.027645881,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
12,6,0.08748186833333334,0.37149431299999996,50,0.01,0.1,0.1,0.3,0.5,0.7,1.0,2.0,0.137273209,0.108466927,0.129507373,0.047202805,0.051220448,0.051220448,0.091651185,0.073555912,0.08869697,0.036590228,0.03881399,0.03881399,0.04602916,0.038644896,0.047886566,0.025977652,0.026407531,0.026407531,0.446467184,0.401597369,0.375183851,0.33020019,0.337758642,0.337758642,0.137273209,0.108466927,0.129507373,0.047202805,0.051220448,0.051220448,1.27,1.42,1.51,1.69,1.66,1.66,3.9,3.9,4.3,0.9,1.1,1.1,3.217,2.549,4.051,0.315,0.277,0.277,5,4,3,2,1,0,5,4,3,2,1,0,91.1,91.3,89.4,97.9,97.0,97.0,0.040696511,0.034947875,0.042554305,0.025567303,0.025845419,0.025845419,0.056525,0.056525,0.056525,0.029925,0.029925,0.0,0.1,0.3,0.5,0.7,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
