year,month,average
2015,1,403.3644975
2015,2,404.0674156
2015,3,404.5871049
2015,4,404.8262707
2015,5,403.9191339
2015,6,401.1860694
2015,7,397.617987
2015,8,395.5755162
2015,9,396.7288981
2015,10,400.0649518
2015,11,403.0952445
2015,12,405.1041973
2016,1,406.4463914
2016,2,407.323805
2016,3,407.9952344
2016,4,408.3607599
2016,5,407.5500598
2016,6,404.8880987
2016,7,401.3023815
2016,8,399.1629585
2016,9,400.2109497
2016,10,403.4384368
2016,11,406.3570428
2016,12,408.2492652
2017,1,409.4712038
2017,2,410.2233307
2017,3,410.7765775
2017,4,411.0339933
2017,5,410.1189315
2017,6,407.3564918
2017,7,403.7370765
2017,8,401.6371515
2017,9,402.7325244
2017,10,406.0161154
2017,11,408.9934043
2017,12,410.9380904
2018,1,412.2054563
2018,2,412.997476
2018,3,413.5835379
2018,4,413.8647175
2018,5,412.9569724
2018,6,410.1877213
2018,7,406.5701638
2018,8,404.48924
2018,9,405.6003847
2018,10,408.8996798
2018,11,411.8891154
2018,12,413.8363724
2019,1,415.0994858
2019,2,415.8818081
2019,3,416.4547235
2019,4,416.7197457
2019,5,415.7865611
2019,6,412.9842752
2019,7,409.3525119
2019,8,407.2838909
2019,9,408.4083841
2019,10,411.7244863
2019,11,414.730007
2019,12,416.6859392
2020,1,417.9521505
2020,2,418.7330003
2020,3,419.300965
2020,4,419.5572779
2020,5,418.6050387
2020,6,415.7750698
2020,7,412.1321979
2020,8,410.0767046
2020,9,411.2144937
2020,10,414.5465317
2020,11,417.5666014
2020,12,419.5291984
2021,1,420.7961174
2021,2,421.5727468
2021,3,422.1327587
2021,4,422.3772036
2021,5,421.4027427
2021,6,418.541887
2021,7,414.8861632
2021,8,412.8433977
2021,9,413.9938869
2021,10,417.3410216
2021,11,420.3745997
2021,12,422.3426937
2022,1,423.6073656
2022,2,424.3783548
2022,3,424.9289696
2022,4,425.1600761
2022,5,424.1623474
2022,6,421.269933
2022,7,417.5984232
2022,8,415.5627486
2022,9,416.7203243
2022,10,420.0768804
2022,11,423.1185883
2022,12,425.0876261
2023,1,426.3476686
2023,2,427.109938
2023,3,427.6486971
2023,4,427.8647153
2023,5,426.8428647
2023,6,423.9188434
2023,7,420.2316953
2023,8,418.2032174
2023,9,419.3683628
2023,10,422.7350675
2023,11,425.7858738
2023,12,427.7571124
2024,1,429.0135675
2024,2,429.768627
2024,3,430.2970405
2024,4,430.4994034
2024,5,429.4549335
2024,6,426.5008333
2024,7,422.7987787
2024,8,420.7772171
2024,9,421.9494957
2024,10,425.3257107
2024,11,428.3849431
2024,12,430.3579245
2025,1,431.610598
2025,2,432.3583606
2025,3,432.8765174
2025,4,433.0655306
2025,5,431.9991883
2025,6,429.0161393
2025,7,425.2998931
2025,8,423.2852992
2025,9,424.4648207
2025,10,427.8506199
2025,11,430.9184151
2025,12,432.8935114
2026,1,434.1429688
2026,2,434.8840658
2026,3,435.3926414
2026,4,435.5690087
2026,5,434.4816907
2026,6,431.4707374
2026,7,427.7407725
2026,8,425.7328464
2026,9,426.919256
2026,10,430.3141745
2026,11,433.3900855
2026,12,435.3670647
2027,1,436.6132984
