location,FertilizerScenario,crop,Event,vType,DVS,Amount
2,2,maize,1,PK,0.001,50
2,2,maize,2,DAP,0.001,8
2,2,maize,3,KAS,0.4,24
3,2,maize,1,PK,0.001,50
3,2,maize,2,DAP,0.001,8
3,2,maize,3,KAS,0.4,24
4,2,maize,1,PK,0.001,50
4,2,maize,2,DAP,0.001,8
4,2,maize,3,KAS,0.4,24
5,2,maize,1,PK,0.001,50
5,2,maize,2,DAP,0.001,8
5,2,maize,3,KAS,0.4,24
6,2,maize,1,PK,0.001,50
6,2,maize,2,DAP,0.001,8
6,2,maize,3,KAS,0.4,24
7,2,maize,1,PK,0.001,50
7,2,maize,2,DAP,0.001,8
7,2,maize,3,KAS,0.4,24
8,2,maize,1,PK,0.001,50
8,2,maize,2,DAP,0.001,8
8,2,maize,3,KAS,0.4,24
10,2,maize,1,PK,0.001,50
10,2,maize,2,DAP,0.001,8
10,2,maize,3,KAS,0.4,24
11,2,maize,1,PK,0.001,50
11,2,maize,2,DAP,0.001,8
11,2,maize,3,KAS,0.4,24
14,2,maize,1,PK,0.001,50
14,2,maize,2,DAP,0.001,8
14,2,maize,3,KAS,0.4,24
16,2,maize,1,PK,0.001,50
16,2,maize,2,DAP,0.001,8
16,2,maize,3,KAS,0.4,24
17,2,maize,1,PK,0.001,50
17,2,maize,2,DAP,0.001,8
17,2,maize,3,KAS,0.4,24
18,2,maize,1,PK,0.001,50
18,2,maize,2,DAP,0.001,8
18,2,maize,3,KAS,0.4,24
19,2,maize,1,PK,0.001,50
19,2,maize,2,DAP,0.001,8
19,2,maize,3,KAS,0.4,24
20,2,maize,1,PK,0.001,50
20,2,maize,2,DAP,0.001,8
20,2,maize,3,KAS,0.4,24
21,2,maize,1,PK,0.001,50
21,2,maize,2,DAP,0.001,8
21,2,maize,3,KAS,0.4,24
22,2,maize,1,PK,0.001,50
22,2,maize,2,DAP,0.001,8
22,2,maize,3,KAS,0.4,24
23,2,maize,1,PK,0.001,50
23,2,maize,2,DAP,0.001,8
23,2,maize,3,KAS,0.4,24
24,2,maize,1,PK,0.001,50
24,2,maize,2,DAP,0.001,8
24,2,maize,3,KAS,0.4,24
25,2,maize,1,PK,0.001,50
25,2,maize,2,DAP,0.001,8
25,2,maize,3,KAS,0.4,24
27,2,maize,1,PK,0.001,50
27,2,maize,2,DAP,0.001,8
27,2,maize,3,KAS,0.4,24
28,2,maize,1,PK,0.001,50
28,2,maize,2,DAP,0.001,8
28,2,maize,3,KAS,0.4,24
29,2,maize,1,PK,0.001,50
29,2,maize,2,DAP,0.001,8
29,2,maize,3,KAS,0.4,24
30,2,maize,1,PK,0.001,50
30,2,maize,2,DAP,0.001,8
30,2,maize,3,KAS,0.4,24
31,2,maize,1,PK,0.001,50
31,2,maize,2,DAP,0.001,8
31,2,maize,3,KAS,0.4,24
32,2,maize,1,PK,0.001,50
32,2,maize,2,DAP,0.001,8
32,2,maize,3,KAS,0.4,24
