location,FertilizerScenario,crop,Event,vType,DVS,Amount
612,2,maize,1,PK,0.001,50
612,2,maize,2,DAP,0.001,8
612,2,maize,3,KAS,0.4,24
613,2,maize,1,PK,0.001,50
613,2,maize,2,DAP,0.001,8
613,2,maize,3,KAS,0.4,24
614,2,maize,1,PK,0.001,50
614,2,maize,2,DAP,0.001,8
614,2,maize,3,KAS,0.4,24
615,2,maize,1,PK,0.001,50
615,2,maize,2,DAP,0.001,8
615,2,maize,3,KAS,0.4,24
616,2,maize,1,PK,0.001,50
616,2,maize,2,DAP,0.001,8
616,2,maize,3,KAS,0.4,24
617,2,maize,1,PK,0.001,50
617,2,maize,2,DAP,0.001,8
617,2,maize,3,KAS,0.4,24
618,2,maize,1,PK,0.001,50
618,2,maize,2,DAP,0.001,8
618,2,maize,3,KAS,0.4,24
619,2,maize,1,PK,0.001,50
619,2,maize,2,DAP,0.001,8
619,2,maize,3,KAS,0.4,24
620,2,maize,1,PK,0.001,50
620,2,maize,2,DAP,0.001,8
620,2,maize,3,KAS,0.4,24
621,2,maize,1,PK,0.001,50
621,2,maize,2,DAP,0.001,8
621,2,maize,3,KAS,0.4,24
622,2,maize,1,PK,0.001,50
622,2,maize,2,DAP,0.001,8
622,2,maize,3,KAS,0.4,24
623,2,maize,1,PK,0.001,50
623,2,maize,2,DAP,0.001,8
623,2,maize,3,KAS,0.4,24
624,2,maize,1,PK,0.001,50
624,2,maize,2,DAP,0.001,8
624,2,maize,3,KAS,0.4,24
625,2,maize,1,PK,0.001,50
625,2,maize,2,DAP,0.001,8
625,2,maize,3,KAS,0.4,24
626,2,maize,1,PK,0.001,50
626,2,maize,2,DAP,0.001,8
626,2,maize,3,KAS,0.4,24
627,2,maize,1,PK,0.001,50
627,2,maize,2,DAP,0.001,8
627,2,maize,3,KAS,0.4,24
628,2,maize,1,PK,0.001,50
628,2,maize,2,DAP,0.001,8
628,2,maize,3,KAS,0.4,24
629,2,maize,1,PK,0.001,50
629,2,maize,2,DAP,0.001,8
629,2,maize,3,KAS,0.4,24
630,2,maize,1,PK,0.001,50
630,2,maize,2,DAP,0.001,8
630,2,maize,3,KAS,0.4,24
631,2,maize,1,PK,0.001,50
631,2,maize,2,DAP,0.001,8
631,2,maize,3,KAS,0.4,24
632,2,maize,1,PK,0.001,50
632,2,maize,2,DAP,0.001,8
632,2,maize,3,KAS,0.4,24
633,2,maize,1,PK,0.001,50
633,2,maize,2,DAP,0.001,8
633,2,maize,3,KAS,0.4,24
634,2,maize,1,PK,0.001,50
634,2,maize,2,DAP,0.001,8
634,2,maize,3,KAS,0.4,24
635,2,maize,1,PK,0.001,50
635,2,maize,2,DAP,0.001,8
635,2,maize,3,KAS,0.4,24
636,2,maize,1,PK,0.001,50
636,2,maize,2,DAP,0.001,8
636,2,maize,3,KAS,0.4,24
637,2,maize,1,PK,0.001,50
637,2,maize,2,DAP,0.001,8
637,2,maize,3,KAS,0.4,24
638,2,maize,1,PK,0.001,50
638,2,maize,2,DAP,0.001,8
638,2,maize,3,KAS,0.4,24
639,2,maize,1,PK,0.001,50
639,2,maize,2,DAP,0.001,8
639,2,maize,3,KAS,0.4,24
640,2,maize,1,PK,0.001,50
640,2,maize,2,DAP,0.001,8
640,2,maize,3,KAS,0.4,24
641,2,maize,1,PK,0.001,50
641,2,maize,2,DAP,0.001,8
641,2,maize,3,KAS,0.4,24
642,2,maize,1,PK,0.001,50
642,2,maize,2,DAP,0.001,8
642,2,maize,3,KAS,0.4,24
643,2,maize,1,PK,0.001,50
643,2,maize,2,DAP,0.001,8
643,2,maize,3,KAS,0.4,24
644,2,maize,1,PK,0.001,50
644,2,maize,2,DAP,0.001,8
644,2,maize,3,KAS,0.4,24
645,2,maize,1,PK,0.001,50
645,2,maize,2,DAP,0.001,8
645,2,maize,3,KAS,0.4,24
646,2,maize,1,PK,0.001,50
646,2,maize,2,DAP,0.001,8
646,2,maize,3,KAS,0.4,24
647,2,maize,1,PK,0.001,50
647,2,maize,2,DAP,0.001,8
647,2,maize,3,KAS,0.4,24
648,2,maize,1,PK,0.001,50
648,2,maize,2,DAP,0.001,8
648,2,maize,3,KAS,0.4,24
649,2,maize,1,PK,0.001,50
649,2,maize,2,DAP,0.001,8
649,2,maize,3,KAS,0.4,24
650,2,maize,1,PK,0.001,50
650,2,maize,2,DAP,0.001,8
650,2,maize,3,KAS,0.4,24
651,2,maize,1,PK,0.001,50
651,2,maize,2,DAP,0.001,8
651,2,maize,3,KAS,0.4,24
652,2,maize,1,PK,0.001,50
652,2,maize,2,DAP,0.001,8
652,2,maize,3,KAS,0.4,24
653,2,maize,1,PK,0.001,50
653,2,maize,2,DAP,0.001,8
653,2,maize,3,KAS,0.4,24
654,2,maize,1,PK,0.001,50
654,2,maize,2,DAP,0.001,8
654,2,maize,3,KAS,0.4,24
655,2,maize,1,PK,0.001,50
655,2,maize,2,DAP,0.001,8
655,2,maize,3,KAS,0.4,24
656,2,maize,1,PK,0.001,50
656,2,maize,2,DAP,0.001,8
656,2,maize,3,KAS,0.4,24
657,2,maize,1,PK,0.001,50
657,2,maize,2,DAP,0.001,8
657,2,maize,3,KAS,0.4,24
658,2,maize,1,PK,0.001,50
658,2,maize,2,DAP,0.001,8
658,2,maize,3,KAS,0.4,24
659,2,maize,1,PK,0.001,50
659,2,maize,2,DAP,0.001,8
659,2,maize,3,KAS,0.4,24
660,2,maize,1,PK,0.001,50
660,2,maize,2,DAP,0.001,8
660,2,maize,3,KAS,0.4,24
661,2,maize,1,PK,0.001,50
661,2,maize,2,DAP,0.001,8
661,2,maize,3,KAS,0.4,24
662,2,maize,1,PK,0.001,50
662,2,maize,2,DAP,0.001,8
662,2,maize,3,KAS,0.4,24
663,2,maize,1,PK,0.001,50
663,2,maize,2,DAP,0.001,8
663,2,maize,3,KAS,0.4,24
664,2,maize,1,PK,0.001,50
664,2,maize,2,DAP,0.001,8
664,2,maize,3,KAS,0.4,24
665,2,maize,1,PK,0.001,50
665,2,maize,2,DAP,0.001,8
665,2,maize,3,KAS,0.4,24
666,2,maize,1,PK,0.001,50
666,2,maize,2,DAP,0.001,8
666,2,maize,3,KAS,0.4,24
667,2,maize,1,PK,0.001,50
667,2,maize,2,DAP,0.001,8
667,2,maize,3,KAS,0.4,24
668,2,maize,1,PK,0.001,50
668,2,maize,2,DAP,0.001,8
668,2,maize,3,KAS,0.4,24
669,2,maize,1,PK,0.001,50
669,2,maize,2,DAP,0.001,8
669,2,maize,3,KAS,0.4,24
670,2,maize,1,PK,0.001,50
670,2,maize,2,DAP,0.001,8
670,2,maize,3,KAS,0.4,24
671,2,maize,1,PK,0.001,50
671,2,maize,2,DAP,0.001,8
671,2,maize,3,KAS,0.4,24
672,2,maize,1,PK,0.001,50
672,2,maize,2,DAP,0.001,8
672,2,maize,3,KAS,0.4,24
673,2,maize,1,PK,0.001,50
673,2,maize,2,DAP,0.001,8
673,2,maize,3,KAS,0.4,24
674,2,maize,1,PK,0.001,50
674,2,maize,2,DAP,0.001,8
674,2,maize,3,KAS,0.4,24
675,2,maize,1,PK,0.001,50
675,2,maize,2,DAP,0.001,8
675,2,maize,3,KAS,0.4,24
676,2,maize,1,PK,0.001,50
676,2,maize,2,DAP,0.001,8
676,2,maize,3,KAS,0.4,24
677,2,maize,1,PK,0.001,50
677,2,maize,2,DAP,0.001,8
677,2,maize,3,KAS,0.4,24
678,2,maize,1,PK,0.001,50
678,2,maize,2,DAP,0.001,8
678,2,maize,3,KAS,0.4,24
679,2,maize,1,PK,0.001,50
679,2,maize,2,DAP,0.001,8
679,2,maize,3,KAS,0.4,24
680,2,maize,1,PK,0.001,50
680,2,maize,2,DAP,0.001,8
680,2,maize,3,KAS,0.4,24
681,2,maize,1,PK,0.001,50
681,2,maize,2,DAP,0.001,8
681,2,maize,3,KAS,0.4,24
682,2,maize,1,PK,0.001,50
682,2,maize,2,DAP,0.001,8
682,2,maize,3,KAS,0.4,24
683,2,maize,1,PK,0.001,50
683,2,maize,2,DAP,0.001,8
683,2,maize,3,KAS,0.4,24
684,2,maize,1,PK,0.001,50
684,2,maize,2,DAP,0.001,8
684,2,maize,3,KAS,0.4,24
685,2,maize,1,PK,0.001,50
685,2,maize,2,DAP,0.001,8
685,2,maize,3,KAS,0.4,24
686,2,maize,1,PK,0.001,50
686,2,maize,2,DAP,0.001,8
686,2,maize,3,KAS,0.4,24
687,2,maize,1,PK,0.001,50
687,2,maize,2,DAP,0.001,8
687,2,maize,3,KAS,0.4,24
688,2,maize,1,PK,0.001,50
688,2,maize,2,DAP,0.001,8
688,2,maize,3,KAS,0.4,24
689,2,maize,1,PK,0.001,50
689,2,maize,2,DAP,0.001,8
689,2,maize,3,KAS,0.4,24
690,2,maize,1,PK,0.001,50
690,2,maize,2,DAP,0.001,8
690,2,maize,3,KAS,0.4,24
691,2,maize,1,PK,0.001,50
691,2,maize,2,DAP,0.001,8
691,2,maize,3,KAS,0.4,24
692,2,maize,1,PK,0.001,50
692,2,maize,2,DAP,0.001,8
692,2,maize,3,KAS,0.4,24
693,2,maize,1,PK,0.001,50
693,2,maize,2,DAP,0.001,8
693,2,maize,3,KAS,0.4,24
694,2,maize,1,PK,0.001,50
694,2,maize,2,DAP,0.001,8
694,2,maize,3,KAS,0.4,24
695,2,maize,1,PK,0.001,50
695,2,maize,2,DAP,0.001,8
695,2,maize,3,KAS,0.4,24
696,2,maize,1,PK,0.001,50
696,2,maize,2,DAP,0.001,8
696,2,maize,3,KAS,0.4,24
698,2,maize,1,PK,0.001,50
698,2,maize,2,DAP,0.001,8
698,2,maize,3,KAS,0.4,24
699,2,maize,1,PK,0.001,50
699,2,maize,2,DAP,0.001,8
699,2,maize,3,KAS,0.4,24
700,2,maize,1,PK,0.001,50
700,2,maize,2,DAP,0.001,8
700,2,maize,3,KAS,0.4,24
701,2,maize,1,PK,0.001,50
701,2,maize,2,DAP,0.001,8
701,2,maize,3,KAS,0.4,24
702,2,maize,1,PK,0.001,50
702,2,maize,2,DAP,0.001,8
702,2,maize,3,KAS,0.4,24
703,2,maize,1,PK,0.001,50
703,2,maize,2,DAP,0.001,8
703,2,maize,3,KAS,0.4,24
704,2,maize,1,PK,0.001,50
704,2,maize,2,DAP,0.001,8
704,2,maize,3,KAS,0.4,24
705,2,maize,1,PK,0.001,50
705,2,maize,2,DAP,0.001,8
705,2,maize,3,KAS,0.4,24
706,2,maize,1,PK,0.001,50
706,2,maize,2,DAP,0.001,8
706,2,maize,3,KAS,0.4,24
707,2,maize,1,PK,0.001,50
707,2,maize,2,DAP,0.001,8
707,2,maize,3,KAS,0.4,24
708,2,maize,1,PK,0.001,50
708,2,maize,2,DAP,0.001,8
708,2,maize,3,KAS,0.4,24
709,2,maize,1,PK,0.001,50
709,2,maize,2,DAP,0.001,8
709,2,maize,3,KAS,0.4,24
710,2,maize,1,PK,0.001,50
710,2,maize,2,DAP,0.001,8
710,2,maize,3,KAS,0.4,24
711,2,maize,1,PK,0.001,50
711,2,maize,2,DAP,0.001,8
711,2,maize,3,KAS,0.4,24
712,2,maize,1,PK,0.001,50
712,2,maize,2,DAP,0.001,8
712,2,maize,3,KAS,0.4,24
713,2,maize,1,PK,0.001,50
713,2,maize,2,DAP,0.001,8
713,2,maize,3,KAS,0.4,24
714,2,maize,1,PK,0.001,50
714,2,maize,2,DAP,0.001,8
714,2,maize,3,KAS,0.4,24
715,2,maize,1,PK,0.001,50
715,2,maize,2,DAP,0.001,8
715,2,maize,3,KAS,0.4,24
716,2,maize,1,PK,0.001,50
716,2,maize,2,DAP,0.001,8
716,2,maize,3,KAS,0.4,24
717,2,maize,1,PK,0.001,50
717,2,maize,2,DAP,0.001,8
717,2,maize,3,KAS,0.4,24
718,2,maize,1,PK,0.001,50
718,2,maize,2,DAP,0.001,8
718,2,maize,3,KAS,0.4,24
720,2,maize,1,PK,0.001,50
720,2,maize,2,DAP,0.001,8
720,2,maize,3,KAS,0.4,24
721,2,maize,1,PK,0.001,50
721,2,maize,2,DAP,0.001,8
721,2,maize,3,KAS,0.4,24
722,2,maize,1,PK,0.001,50
722,2,maize,2,DAP,0.001,8
722,2,maize,3,KAS,0.4,24
723,2,maize,1,PK,0.001,50
723,2,maize,2,DAP,0.001,8
723,2,maize,3,KAS,0.4,24
724,2,maize,1,PK,0.001,50
724,2,maize,2,DAP,0.001,8
724,2,maize,3,KAS,0.4,24
725,2,maize,1,PK,0.001,50
725,2,maize,2,DAP,0.001,8
725,2,maize,3,KAS,0.4,24
726,2,maize,1,PK,0.001,50
726,2,maize,2,DAP,0.001,8
726,2,maize,3,KAS,0.4,24
727,2,maize,1,PK,0.001,50
727,2,maize,2,DAP,0.001,8
727,2,maize,3,KAS,0.4,24
728,2,maize,1,PK,0.001,50
728,2,maize,2,DAP,0.001,8
728,2,maize,3,KAS,0.4,24
729,2,maize,1,PK,0.001,50
729,2,maize,2,DAP,0.001,8
729,2,maize,3,KAS,0.4,24
730,2,maize,1,PK,0.001,50
730,2,maize,2,DAP,0.001,8
730,2,maize,3,KAS,0.4,24
731,2,maize,1,PK,0.001,50
731,2,maize,2,DAP,0.001,8
731,2,maize,3,KAS,0.4,24
732,2,maize,1,PK,0.001,50
732,2,maize,2,DAP,0.001,8
732,2,maize,3,KAS,0.4,24
733,2,maize,1,PK,0.001,50
733,2,maize,2,DAP,0.001,8
733,2,maize,3,KAS,0.4,24
734,2,maize,1,PK,0.001,50
734,2,maize,2,DAP,0.001,8
734,2,maize,3,KAS,0.4,24
735,2,maize,1,PK,0.001,50
735,2,maize,2,DAP,0.001,8
735,2,maize,3,KAS,0.4,24
736,2,maize,1,PK,0.001,50
736,2,maize,2,DAP,0.001,8
736,2,maize,3,KAS,0.4,24
737,2,maize,1,PK,0.001,50
737,2,maize,2,DAP,0.001,8
737,2,maize,3,KAS,0.4,24
738,2,maize,1,PK,0.001,50
738,2,maize,2,DAP,0.001,8
738,2,maize,3,KAS,0.4,24
739,2,maize,1,PK,0.001,50
739,2,maize,2,DAP,0.001,8
739,2,maize,3,KAS,0.4,24
740,2,maize,1,PK,0.001,50
740,2,maize,2,DAP,0.001,8
740,2,maize,3,KAS,0.4,24
741,2,maize,1,PK,0.001,50
741,2,maize,2,DAP,0.001,8
741,2,maize,3,KAS,0.4,24
742,2,maize,1,PK,0.001,50
742,2,maize,2,DAP,0.001,8
742,2,maize,3,KAS,0.4,24
743,2,maize,1,PK,0.001,50
743,2,maize,2,DAP,0.001,8
743,2,maize,3,KAS,0.4,24
744,2,maize,1,PK,0.001,50
744,2,maize,2,DAP,0.001,8
744,2,maize,3,KAS,0.4,24
745,2,maize,1,PK,0.001,50
745,2,maize,2,DAP,0.001,8
745,2,maize,3,KAS,0.4,24
746,2,maize,1,PK,0.001,50
746,2,maize,2,DAP,0.001,8
746,2,maize,3,KAS,0.4,24
747,2,maize,1,PK,0.001,50
747,2,maize,2,DAP,0.001,8
747,2,maize,3,KAS,0.4,24
748,2,maize,1,PK,0.001,50
748,2,maize,2,DAP,0.001,8
748,2,maize,3,KAS,0.4,24
749,2,maize,1,PK,0.001,50
749,2,maize,2,DAP,0.001,8
749,2,maize,3,KAS,0.4,24
750,2,maize,1,PK,0.001,50
750,2,maize,2,DAP,0.001,8
750,2,maize,3,KAS,0.4,24
751,2,maize,1,PK,0.001,50
751,2,maize,2,DAP,0.001,8
751,2,maize,3,KAS,0.4,24
752,2,maize,1,PK,0.001,50
752,2,maize,2,DAP,0.001,8
752,2,maize,3,KAS,0.4,24
753,2,maize,1,PK,0.001,50
753,2,maize,2,DAP,0.001,8
753,2,maize,3,KAS,0.4,24
754,2,maize,1,PK,0.001,50
754,2,maize,2,DAP,0.001,8
754,2,maize,3,KAS,0.4,24
755,2,maize,1,PK,0.001,50
755,2,maize,2,DAP,0.001,8
755,2,maize,3,KAS,0.4,24
756,2,maize,1,PK,0.001,50
756,2,maize,2,DAP,0.001,8
756,2,maize,3,KAS,0.4,24
757,2,maize,1,PK,0.001,50
757,2,maize,2,DAP,0.001,8
757,2,maize,3,KAS,0.4,24
758,2,maize,1,PK,0.001,50
758,2,maize,2,DAP,0.001,8
758,2,maize,3,KAS,0.4,24
759,2,maize,1,PK,0.001,50
759,2,maize,2,DAP,0.001,8
759,2,maize,3,KAS,0.4,24
760,2,maize,1,PK,0.001,50
