location,Latitude,SunInclination,Altitude
2,54.859923,-4,10
3,54.864382,-4,10
4,54.866979,-4,10
5,54.86392,-4,10
6,54.870685,-4,10
7,54.812111,-4,10
8,54.784146,-4,10
10,54.803011,-4,10
11,54.798704,-4,10
14,54.824502,-4,10
16,54.74231,-4,10
17,54.720941,-4,10
18,54.749338,-4,10
19,54.752138,-4,10
20,54.748731,-4,10
21,54.751597,-4,10
22,54.733011,-4,10
23,54.721614,-4,10
24,54.735342,-4,10
25,54.741264,-4,10
27,54.657675,-4,10
28,54.639415,-4,10
29,54.677056,-4,10
30,54.673389,-4,10
31,54.661728,-4,10
32,54.655959,-4,10
33,54.650243,-4,10
35,54.580002,-4,10
36,54.607705,-4,10
37,54.569688,-4,10
38,54.602842,-4,10
41,54.596727,-4,10
42,54.612309,-4,10
43,54.576428,-4,10
46,54.510717,-4,10
48,54.49096,-4,10
49,54.499306,-4,10
50,54.516585,-4,10
52,54.490912,-4,10
57,54.467157,-4,10
58,54.429407,-4,10
59,54.433894,-4,10
60,54.434732,-4,10
62,54.461026,-4,10
63,54.448351,-4,10
64,54.450193,-4,10
65,54.429198,-4,10
66,54.45932,-4,10
67,54.44832,-4,10
68,54.431522,-4,10
71,54.409864,-4,10
73,54.396936,-4,10
74,54.390791,-4,10
75,54.371529,-4,10
76,54.384386,-4,10
77,54.373065,-4,10
78,54.358906,-4,10
80,54.396643,-4,10
81,54.37991,-4,10
82,54.361408,-4,10
83,54.372827,-4,10
84,54.393189,-4,10
85,54.377871,-4,10
86,54.37514,-4,10
87,54.394091,-4,10
88,54.355046,-4,10
89,54.366726,-4,10
91,54.356289,-4,10
92,54.321723,-4,10
93,54.327045,-4,10
95,54.34088,-4,10
96,54.306334,-4,10
98,54.300791,-4,10
100,54.291085,-4,10
101,54.307946,-4,10
102,54.291932,-4,10
104,54.316287,-4,10
106,54.30721,-4,10
107,54.298129,-4,10
112,54.304471,-4,10
113,54.308182,-4,10
114,54.2943,-4,10
116,54.305254,-4,10
119,54.264379,-4,10
120,54.257052,-4,10
121,54.273505,-4,10
123,54.240237,-4,10
124,54.234951,-4,10
125,54.23014,-4,10
126,54.212894,-4,10
127,54.242336,-4,10
128,54.221206,-4,10
129,54.210269,-4,10
131,54.211149,-4,10
132,54.214354,-4,10
134,54.239864,-4,10
136,54.254299,-4,10
137,54.225662,-4,10
138,54.224849,-4,10
140,54.244708,-4,10
141,54.219498,-4,10
144,54.203509,-4,10
145,54.221989,-4,10
146,54.201988,-4,10
147,54.184837,-4,10
148,54.194392,-4,10
149,54.189792,-4,10
150,54.165115,-4,10
151,54.156877,-4,10
152,54.14441,-4,10
153,54.157869,-4,10
155,54.166361,-4,10
156,54.1726,-4,10
158,54.153589,-4,10
160,54.146746,-4,10
161,54.173492,-4,10
162,54.150725,-4,10
166,54.173964,-4,10
167,54.146479,-4,10
170,54.156629,-4,10
171,54.123657,-4,10
172,54.121321,-4,10
175,54.119167,-4,10
176,54.139066,-4,10
177,54.11029,-4,10
179,54.121211,-4,10
181,54.105706,-4,10
182,54.106941,-4,10
183,54.122035,-4,10
185,54.082606,-4,10
186,54.073301,-4,10
187,54.06448,-4,10
188,54.098926,-4,10
190,54.088815,-4,10
191,54.099609,-4,10
192,54.08196,-4,10
193,54.090896,-4,10
194,54.084273,-4,10
195,54.075565,-4,10
197,54.060357,-4,10
198,54.069081,-4,10
200,54.072847,-4,10
201,54.084248,-4,10
202,54.070612,-4,10
203,54.088459,-4,10
205,54.082585,-4,10
206,54.069498,-4,10
207,54.043712,-4,10
208,54.059111,-4,10
210,54.038126,-4,10
211,54.059557,-4,10
212,54.057623,-4,10
213,54.049753,-4,10
214,54.015076,-4,10
215,54.040144,-4,10
219,54.020335,-4,10
220,54.000776,-4,10
221,53.996442,-4,10
222,54.01065,-4,10
225,54.02678,-4,10
229,54.02433,-4,10
230,54.017689,-4,10
232,53.997588,-4,10
233,53.99473,-4,10
234,53.980218,-4,10
236,53.990122,-4,10
237,54.002707,-4,10
238,53.989874,-4,10
240,53.981224,-4,10
241,53.972445,-4,10
242,53.992882,-4,10
243,53.996391,-4,10
244,53.980665,-4,10
245,53.986615,-4,10
246,53.956734,-4,10
247,53.990469,-4,10
249,53.95257,-4,10
250,53.956883,-4,10
251,53.968996,-4,10
252,53.941969,-4,10
253,53.933186,-4,10
254,53.947327,-4,10
255,53.962504,-4,10
257,53.941714,-4,10
258,53.921435,-4,10
259,53.928071,-4,10
260,53.919061,-4,10
261,53.953859,-4,10
262,53.921789,-4,10
263,53.931699,-4,10
264,53.929376,-4,10
265,53.944063,-4,10
266,53.945859,-4,10
269,53.951397,-4,10
270,53.941464,-4,10
271,53.932438,-4,10
272,53.935337,-4,10
273,53.914519,-4,10
274,53.911961,-4,10
276,53.918044,-4,10
277,53.920464,-4,10
278,53.904197,-4,10
