location,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
612,6,0.3073435876891709,0.4137103678735799,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3340671301185581,0.3559470533528858,0.3323410181783418,0.3045329529807427,0.306046428369895,0.2987595035681933,0.2679639445153965,0.2949927224589795,0.2712092157935997,0.2461713836775926,0.2508516803868513,0.2430887042391881,0.2018607589122349,0.2340383915650732,0.2100774134088575,0.1878098143744426,0.1956569324038077,0.1874179049101829,0.4695578125062682,0.4687976895436269,0.4484555661053295,0.4145005238782457,0.4067388439005199,0.4027490465280025,0.3340671301185581,0.3559470533528858,0.3323410181783418,0.3045329529807427,0.306046428369895,0.2987595035681933,1.29,1.34,1.41,1.52,1.55,1.56,29.7,33.2,31.3,29.0,31.0,29.6,3.91,2.02,1.18,0.57,0.38,0.34,5,4,3,2,1,0,5,4,3,2,1,0,28.7,26.6,28.0,30.0,29.7,31.3,0.1849176158146692,0.2174778839497354,0.1939070183084029,0.1726279986813197,0.1809434870779368,0.1727746385461195,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
613,6,0.3091334429986632,0.4147964072088849,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3323121436889745,0.3483089280157133,0.3314725870413882,0.3092096663620187,0.3058507922776315,0.3019962811354399,0.2623779691419852,0.2863860136422826,0.2674328789661417,0.2482907892757034,0.2471388879773712,0.2436638308266416,0.1924437945949959,0.224463099268852,0.2033931708908951,0.1873719121893882,0.188426983677111,0.1853313805178433,0.475756953504847,0.4609955692373784,0.4507676618569113,0.4186782756514599,0.4069541716618636,0.4037051091800695,0.3323121436889745,0.3483089280157133,0.3314725870413882,0.3092096663620187,0.3058507922776315,0.3019962811354399,1.27,1.36,1.4,1.51,1.55,1.56,27.6,30.6,29.2,28.6,28.9,28.5,3.6,2.23,1.3,0.48,0.33,0.26,5,4,3,2,1,0,5,4,3,2,1,0,26.2,24.1,24.9,25.7,25.0,26.0,0.1750095766467354,0.2078457202861242,0.186763171038716,0.1716728528149372,0.1731093495689836,0.170161522881969,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
614,6,0.3353045144490734,0.4103861692513315,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.356219701667579,0.3854389325108193,0.3618496103712043,0.331434115997447,0.3300087057400022,0.3285429919127703,0.2892092854025297,0.327595799956247,0.3007626625526803,0.2813934601425162,0.2821919060140036,0.2822668340291932,0.2221988691374804,0.2697526674016747,0.2396757147341564,0.2313528042875853,0.234375106288005,0.2359906761456161,0.4812695137736267,0.4781431100426658,0.4647856641155256,0.4065073323101558,0.4002781750367972,0.3971132324846207,0.356219701667579,0.3854389325108193,0.3618496103712043,0.331434115997447,0.3300087057400022,0.3285429919127703,1.26,1.32,1.37,1.56,1.58,1.59,33.5,38.5,35.7,36.1,36.8,37.5,4.0,2.46,1.3,0.75,0.77,0.76,5,4,3,2,1,0,5,4,3,2,1,0,18.7,16.7,19.3,19.6,19.9,21.3,0.2045988183258738,0.2533017343743461,0.2229370829082736,0.2171145222858989,0.2206075435000992,0.2225789366982949,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
615,6,0.3144334389325393,0.4081888705511731,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3560462258716163,0.3606538686217287,0.3330499683067325,0.3117160805018784,0.3090213690867268,0.3079183126780608,0.2891343849853937,0.2936375055177622,0.2710097246575583,0.2512573041551926,0.251604883272377,0.2538172251016487,0.2222225440991711,0.2266211424137956,0.2089694810083842,0.1907985278085069,0.1941883974580273,0.1997161375252367,0.4783339299562162,0.4777599808079233,0.4395036993450403,0.4114817166223987,0.4027818257738975,0.3942022463257083,0.3560462258716163,0.3606538686217287,0.3330499683067325,0.3117160805018784,0.3090213690867268,0.3079183126780608,1.24,1.31,1.43,1.53,1.56,1.59,27.6,30.1,28.5,27.8,28.8,30.1,6.11,2.18,1.89,0.78,0.66,0.56,5,4,3,2,1,0,5,4,3,2,1,0,18.6,17.7,20.7,21.7,23.2,24.0,0.2046281508230975,0.2088892852439097,0.1925718315527409,0.1750573648356566,0.1789784559464085,0.1850755675103137,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
616,6,0.2592140098636556,0.4042843552971953,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3295129369273346,0.302597075635624,0.2817584049029514,0.2639759282196738,0.2564322259638386,0.2476632357305017,0.2541085811802062,0.2316558354699727,0.214958610874184,0.2015472985341535,0.1963149787854525,0.1896602629462662,0.1787042254330777,0.1607145953043213,0.1481588168454167,0.1391186688486331,0.1361977316070663,0.1316572901620307,0.5025769001390966,0.4660497051776984,0.4401320211735623,0.4093524113707913,0.3966852695759174,0.3893352606520272,0.3295129369273346,0.302597075635624,0.2817584049029514,0.2639759282196738,0.2564322259638386,0.2476632357305017,1.16,1.32,1.41,1.52,1.56,1.58,20.0,20.1,20.8,21.9,21.6,21.3,4.96,2.21,1.37,0.39,0.29,0.25,5,4,3,2,1,0,5,4,3,2,1,0,38.4,37.9,40.4,41.0,42.7,46.4,0.1607622110934422,0.1440967656459237,0.1326510268006581,0.1246190674829341,0.1221715045425898,0.1181429552416406,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
617,6,0.2925214134066176,0.4118903949537157,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3319695229356565,0.3362951264014069,0.3127578880585515,0.2947561132569002,0.2881698323737272,0.284206387890968,0.2617675070430134,0.2702169658735001,0.2441056684989749,0.232499443351573,0.2288402278320295,0.2271243995355129,0.1915654911503703,0.2041388053455932,0.1754534489393984,0.1702427734462457,0.1695106232903319,0.1700424111800579,0.4837052985487446,0.4711056506885578,0.4581836359792459,0.4183670326181939,0.4034597341470736,0.3968634110699638,0.3319695229356565,0.3362951264014069,0.3127578880585515,0.2947561132569002,0.2881698323737272,0.284206387890968,1.23,1.31,1.36,1.5,1.55,1.57,24.5,25.6,23.8,25.5,25.9,26.3,4.65,2.84,1.62,0.7,0.48,0.46,5,4,3,2,1,0,5,4,3,2,1,0,32.9,31.7,32.1,31.5,32.6,35.0,0.1741326033706408,0.1871479073160533,0.1587253886783469,0.1547624753363879,0.1545743189410774,0.1555219400543825,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
618,6,0.205700544542307,0.3782726233776113,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2741171771211582,0.2165573944070521,0.2202682585653473,0.2012393099542477,0.2084620665230604,0.1992426324075504,0.2088098633630406,0.1587182157980202,0.1649499182848736,0.1452262937844726,0.1537081466047159,0.1459452044246372,0.143502549604923,0.1008790371889884,0.1096315780043999,0.0892132776146975,0.0989542266863714,0.092647776441724,0.4542417235002245,0.4142508964147803,0.3873061776214874,0.3847209983126964,0.3744096918965219,0.3691319680430927,0.2741171771211582,0.2165573944070521,0.2202682585653473,0.2012393099542477,0.2084620665230604,0.1992426324075504,1.28,1.44,1.53,1.55,1.59,1.61,12.7,10.9,12.4,13.1,15.0,15.3,6.9,3.12,3.24,1.84,1.54,0.95,5,4,3,2,1,0,5,4,3,2,1,0,66.5,67.7,65.5,64.8,62.4,63.7,0.1290149116788832,0.0895187581780118,0.0980903291111398,0.0778795993767933,0.0872811371392003,0.081482457787558,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
619,6,0.3190653545734051,0.4061158076193309,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3322249450124907,0.355137984537749,0.3396753662045568,0.3161825203488829,0.3141091164784799,0.3145559558156703,0.2641020232956598,0.2938204445998484,0.2772220057644362,0.260547693904252,0.2589731661308731,0.261694361025459,0.1959791015788288,0.2325029046619478,0.2147686453243155,0.2049128674596211,0.2038372157832663,0.2088327662352478,0.4577803633793725,0.456388930215708,0.4460827050457613,0.4016879406613649,0.3991465725105674,0.3966262870886219,0.3322249450124907,0.355137984537749,0.3396753662045568,0.3161825203488829,0.3141091164784799,0.3145559558156703,1.33,1.38,1.42,1.57,1.58,1.59,28.9,31.7,30.8,30.9,31.1,32.4,3.45,2.21,1.33,0.52,0.37,0.32,5,4,3,2,1,0,5,4,3,2,1,0,18.3,16.8,19.3,20.2,20.8,22.0,0.1787268137532585,0.2158124589269744,0.1981717797725175,0.1898327417591994,0.1888835790528611,0.1942915594731111,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
620,6,0.2785401258470044,0.406084863247105,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3015886681918597,0.2645703294719184,0.276944022019753,0.2846391292131793,0.2799543022569485,0.2766287223675279,0.2321174867158942,0.1937703342869797,0.2119793496871139,0.2215093731425673,0.216937751498591,0.2160024366138913,0.1626463052399287,0.122970339102041,0.1470146773544748,0.1583796170719553,0.1539212007402336,0.1553761508602548,0.4498714390750389,0.437578304050548,0.41266566571851,0.4137499915861493,0.408595934393567,0.3964551030443551,0.3015886681918597,0.2645703294719184,0.276944022019753,0.2846391292131793,0.2799543022569485,0.2766287223675279,1.32,1.41,1.5,1.51,1.53,1.57,17.6,15.8,19.8,23.4,23.4,23.6,5.67,1.59,1.46,0.74,0.42,0.34,5,4,3,2,1,0,5,4,3,2,1,0,39.4,39.9,35.2,33.4,33.5,33.8,0.1461711641396665,0.1079077057856296,0.1317877727344181,0.1430897934973772,0.138784109580803,0.1405918828250516,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
621,6,0.3199824923592526,0.4084377812399682,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3614732149645595,0.3605556338390087,0.3493688412057211,0.3204615890356536,0.3132368313623313,0.3119972251498895,0.298477127671651,0.29885721099997,0.2888136917867079,0.2655377072891826,0.2622171136181482,0.2617233477894726,0.2354810403787426,0.2371587881609313,0.2282585423676947,0.2106138255427115,0.2111973958739652,0.2114494704290557,0.4776061912208117,0.4699196535940962,0.4583273276746414,0.4130169867040736,0.3950986466070045,0.3953096337542662,0.3614732149645595,0.3605556338390087,0.3493688412057211,0.3204615890356536,0.3132368313623313,0.3119972251498895,1.24,1.32,1.37,1.53,1.59,1.59,29.7,29.9,31.5,32.1,32.7,33.4,6.83,3.38,2.21,0.81,0.58,0.49,5,4,3,2,1,0,5,4,3,2,1,0,23.0,22.0,24.0,24.4,24.9,26.9,0.2184608659273816,0.2203625150644557,0.211858217881798,0.1956560489774345,0.1970479766968521,0.1974824133941741,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
