location,FertilizerScenario,crop,Event,vType,DVS,Amount
2,2,potato,1,Urea,0.001,8.5
2,2,potato,1,P,0.001,20.62
2,2,potato,1,K,0.001,26.49
2,2,potato,2,Urea,0.3,12.7
2,2,potato,3,Urea,0.5,17.9
3,2,potato,1,Urea,0.001,8.5
3,2,potato,1,P,0.001,20.62
3,2,potato,1,K,0.001,26.49
3,2,potato,2,Urea,0.3,12.7
3,2,potato,3,Urea,0.5,17.9
4,2,potato,1,Urea,0.001,8.5
4,2,potato,1,P,0.001,20.62
4,2,potato,1,K,0.001,26.49
4,2,potato,2,Urea,0.3,12.7
4,2,potato,3,Urea,0.5,17.9
5,2,potato,1,Urea,0.001,8.5
5,2,potato,1,P,0.001,20.62
5,2,potato,1,K,0.001,26.49
5,2,potato,2,Urea,0.3,12.7
5,2,potato,3,Urea,0.5,17.9
6,2,potato,1,Urea,0.001,8.5
6,2,potato,1,P,0.001,20.62
6,2,potato,1,K,0.001,26.49
6,2,potato,2,Urea,0.3,12.7
6,2,potato,3,Urea,0.5,17.9
7,2,potato,1,Urea,0.001,8.5
7,2,potato,1,P,0.001,20.62
7,2,potato,1,K,0.001,26.49
7,2,potato,2,Urea,0.3,12.7
7,2,potato,3,Urea,0.5,17.9
8,2,potato,1,Urea,0.001,8.5
8,2,potato,1,P,0.001,20.62
8,2,potato,1,K,0.001,26.49
8,2,potato,2,Urea,0.3,12.7
8,2,potato,3,Urea,0.5,17.9
10,2,potato,1,Urea,0.001,8.5
10,2,potato,1,P,0.001,20.62
10,2,potato,1,K,0.001,26.49
10,2,potato,2,Urea,0.3,12.7
10,2,potato,3,Urea,0.5,17.9
11,2,potato,1,Urea,0.001,8.5
11,2,potato,1,P,0.001,20.62
11,2,potato,1,K,0.001,26.49
11,2,potato,2,Urea,0.3,12.7
11,2,potato,3,Urea,0.5,17.9
14,2,potato,1,Urea,0.001,8.5
14,2,potato,1,P,0.001,20.62
14,2,potato,1,K,0.001,26.49
14,2,potato,2,Urea,0.3,12.7
14,2,potato,3,Urea,0.5,17.9
16,2,potato,1,Urea,0.001,8.5
