location,FertilizerScenario,crop,Event,vType,DVS,Amount
940,2,potato,1,Urea,0.001,8.5
940,2,potato,1,P,0.001,20.62
940,2,potato,1,K,0.001,26.49
940,2,potato,2,Urea,0.3,12.7
940,2,potato,3,Urea,0.5,17.9
941,2,potato,1,Urea,0.001,8.5
941,2,potato,1,P,0.001,20.62
941,2,potato,1,K,0.001,26.49
941,2,potato,2,Urea,0.3,12.7
941,2,potato,3,Urea,0.5,17.9
942,2,potato,1,Urea,0.001,8.5
942,2,potato,1,P,0.001,20.62
942,2,potato,1,K,0.001,26.49
942,2,potato,2,Urea,0.3,12.7
942,2,potato,3,Urea,0.5,17.9
943,2,potato,1,Urea,0.001,8.5
943,2,potato,1,P,0.001,20.62
943,2,potato,1,K,0.001,26.49
943,2,potato,2,Urea,0.3,12.7
943,2,potato,3,Urea,0.5,17.9
944,2,potato,1,Urea,0.001,8.5
944,2,potato,1,P,0.001,20.62
944,2,potato,1,K,0.001,26.49
944,2,potato,2,Urea,0.3,12.7
944,2,potato,3,Urea,0.5,17.9
945,2,potato,1,Urea,0.001,8.5
945,2,potato,1,P,0.001,20.62
945,2,potato,1,K,0.001,26.49
945,2,potato,2,Urea,0.3,12.7
945,2,potato,3,Urea,0.5,17.9
946,2,potato,1,Urea,0.001,8.5
946,2,potato,1,P,0.001,20.62
946,2,potato,1,K,0.001,26.49
946,2,potato,2,Urea,0.3,12.7
946,2,potato,3,Urea,0.5,17.9
947,2,potato,1,Urea,0.001,8.5
947,2,potato,1,P,0.001,20.62
947,2,potato,1,K,0.001,26.49
947,2,potato,2,Urea,0.3,12.7
947,2,potato,3,Urea,0.5,17.9
948,2,potato,1,Urea,0.001,8.5
948,2,potato,1,P,0.001,20.62
948,2,potato,1,K,0.001,26.49
948,2,potato,2,Urea,0.3,12.7
948,2,potato,3,Urea,0.5,17.9
949,2,potato,1,Urea,0.001,8.5
949,2,potato,1,P,0.001,20.62
949,2,potato,1,K,0.001,26.49
949,2,potato,2,Urea,0.3,12.7
949,2,potato,3,Urea,0.5,17.9
950,2,potato,1,Urea,0.001,8.5
950,2,potato,1,P,0.001,20.62
950,2,potato,1,K,0.001,26.49
950,2,potato,2,Urea,0.3,12.7
950,2,potato,3,Urea,0.5,17.9
951,2,potato,1,Urea,0.001,8.5
951,2,potato,1,P,0.001,20.62
951,2,potato,1,K,0.001,26.49
951,2,potato,2,Urea,0.3,12.7
951,2,potato,3,Urea,0.5,17.9
952,2,potato,1,Urea,0.001,8.5
952,2,potato,1,P,0.001,20.62
952,2,potato,1,K,0.001,26.49
952,2,potato,2,Urea,0.3,12.7
952,2,potato,3,Urea,0.5,17.9
