projectid;simulationid;vColumn;vRow;vLocationID;vNUTS_ID;vNUTS_NAME;vSTATE_NAME;start_date;end_date;vIDPL;vYear
1;C199R517;199;517;940;DE71E;Wetteraukreis;Hessen;2017-01-01;2017-12-31;111;2017
2;C319R734;319;734;941;DE278;Günzburg;Bayern;2017-01-01;2017-12-31;102;2017
3;C414R691;414;691;942;DE219;Eichstätt;Bayern;2017-01-01;2017-12-31;108;2017
4;C370R404;370;404;943;DEE0A;Mansfeld-Südharz;Sachsen-Anhalt;2017-01-01;2017-12-31;112;2017
5;C156R597;156;597;944;DEB3B;Alzey-Worms;Rheinland-Pfalz;2017-01-01;2017-12-31;114;2017
6;C526R461;526;461;945;DED43;Mittelsachsen;Sachsen;2017-01-01;2017-12-31;126;2017
7;C355R768;355;768;946;DE21E;Landsberg am Lech;Bayern;2017-01-01;2017-12-31;113;2017
8;C174R593;174;593;947;DEB39;Worms, Kreisfreie Stadt;Rheinland-Pfalz;2017-01-01;2017-12-31;115;2017
9;C114R800;114;800;948;DE132;Breisgau-Hochschwarzwald;Baden-Württemberg;2017-01-01;2017-12-31;109;2017
10;C461R677;461;677;949;DE238;Regensburg, Landkreis;Bayern;2017-01-01;2017-12-31;105;2017
11;C145R277;145;277;950;DE94E;Osnabrück, Landkreis;Niedersachsen;2017-01-01;2017-12-31;113;2017
12;C233R61;233;61;951;DEF07;Nordfriesland;Schleswig-Holstein;2017-01-01;2017-12-31;112;2017
13;C250R303;250;303;952;DE929;Region Hannover;Niedersachsen;2017-01-01;2017-12-31;118;2017
14;C52R468;52;468;953;DEA27;Rhein-Erft-Kreis;Nordrhein-Westfalen;2017-01-01;2017-12-31;110;2017
15;C92R189;92;189;954;DE942;Emden, Kreisfreie Stadt;Niedersachsen;2017-01-01;2017-12-31;112;2017
16;C92R248;92;248;955;DE949;Emsland;Niedersachsen;2017-01-01;2017-12-31;110;2017
17;C300R124;300;124;956;DEF0D;Segeberg;Schleswig-Holstein;2017-01-01;2017-12-31;116;2017
