location,FertilizerScenario,crop,Event,vType,DVS,Amount
2,2,spring_barley,1,PK,0.001,32
2,2,spring_barley,2,KAS,0.01,31
3,2,spring_barley,1,PK,0.001,32
3,2,spring_barley,2,KAS,0.01,31
4,2,spring_barley,1,PK,0.001,32
4,2,spring_barley,2,KAS,0.01,31
5,2,spring_barley,1,PK,0.001,32
5,2,spring_barley,2,KAS,0.01,31
6,2,spring_barley,1,PK,0.001,32
6,2,spring_barley,2,KAS,0.01,31
7,2,spring_barley,1,PK,0.001,32
7,2,spring_barley,2,KAS,0.01,31
8,2,spring_barley,1,PK,0.001,32
8,2,spring_barley,2,KAS,0.01,31
10,2,spring_barley,1,PK,0.001,32
10,2,spring_barley,2,KAS,0.01,31
11,2,spring_barley,1,PK,0.001,32
11,2,spring_barley,2,KAS,0.01,31
14,2,spring_barley,1,PK,0.001,32
14,2,spring_barley,2,KAS,0.01,31
16,2,spring_barley,1,PK,0.001,32
16,2,spring_barley,2,KAS,0.01,31
17,2,spring_barley,1,PK,0.001,32
17,2,spring_barley,2,KAS,0.01,31
18,2,spring_barley,1,PK,0.001,32
18,2,spring_barley,2,KAS,0.01,31
19,2,spring_barley,1,PK,0.001,32
19,2,spring_barley,2,KAS,0.01,31
20,2,spring_barley,1,PK,0.001,32
20,2,spring_barley,2,KAS,0.01,31
21,2,spring_barley,1,PK,0.001,32
21,2,spring_barley,2,KAS,0.01,31
22,2,spring_barley,1,PK,0.001,32
22,2,spring_barley,2,KAS,0.01,31
23,2,spring_barley,1,PK,0.001,32
23,2,spring_barley,2,KAS,0.01,31
24,2,spring_barley,1,PK,0.001,32
24,2,spring_barley,2,KAS,0.01,31
25,2,spring_barley,1,PK,0.001,32
25,2,spring_barley,2,KAS,0.01,31
27,2,spring_barley,1,PK,0.001,32
27,2,spring_barley,2,KAS,0.01,31
28,2,spring_barley,1,PK,0.001,32
28,2,spring_barley,2,KAS,0.01,31
29,2,spring_barley,1,PK,0.001,32
29,2,spring_barley,2,KAS,0.01,31
30,2,spring_barley,1,PK,0.001,32
30,2,spring_barley,2,KAS,0.01,31
31,2,spring_barley,1,PK,0.001,32
31,2,spring_barley,2,KAS,0.01,31
32,2,spring_barley,1,PK,0.001,32
32,2,spring_barley,2,KAS,0.01,31
33,2,spring_barley,1,PK,0.001,32
33,2,spring_barley,2,KAS,0.01,31
35,2,spring_barley,1,PK,0.001,32
35,2,spring_barley,2,KAS,0.01,31
36,2,spring_barley,1,PK,0.001,32
36,2,spring_barley,2,KAS,0.01,31
37,2,spring_barley,1,PK,0.001,32
37,2,spring_barley,2,KAS,0.01,31
38,2,spring_barley,1,PK,0.001,32
38,2,spring_barley,2,KAS,0.01,31
41,2,spring_barley,1,PK,0.001,32
41,2,spring_barley,2,KAS,0.01,31
42,2,spring_barley,1,PK,0.001,32
42,2,spring_barley,2,KAS,0.01,31
43,2,spring_barley,1,PK,0.001,32
43,2,spring_barley,2,KAS,0.01,31
46,2,spring_barley,1,PK,0.001,32
46,2,spring_barley,2,KAS,0.01,31
48,2,spring_barley,1,PK,0.001,32
48,2,spring_barley,2,KAS,0.01,31
49,2,spring_barley,1,PK,0.001,32
49,2,spring_barley,2,KAS,0.01,31
50,2,spring_barley,1,PK,0.001,32
50,2,spring_barley,2,KAS,0.01,31
52,2,spring_barley,1,PK,0.001,32
52,2,spring_barley,2,KAS,0.01,31
57,2,spring_barley,1,PK,0.001,32
57,2,spring_barley,2,KAS,0.01,31
58,2,spring_barley,1,PK,0.001,32
58,2,spring_barley,2,KAS,0.01,31
59,2,spring_barley,1,PK,0.001,32
59,2,spring_barley,2,KAS,0.01,31
60,2,spring_barley,1,PK,0.001,32
60,2,spring_barley,2,KAS,0.01,31
62,2,spring_barley,1,PK,0.001,32
62,2,spring_barley,2,KAS,0.01,31
63,2,spring_barley,1,PK,0.001,32
63,2,spring_barley,2,KAS,0.01,31
64,2,spring_barley,1,PK,0.001,32
64,2,spring_barley,2,KAS,0.01,31
65,2,spring_barley,1,PK,0.001,32
65,2,spring_barley,2,KAS,0.01,31
66,2,spring_barley,1,PK,0.001,32
66,2,spring_barley,2,KAS,0.01,31
67,2,spring_barley,1,PK,0.001,32
67,2,spring_barley,2,KAS,0.01,31
68,2,spring_barley,1,PK,0.001,32
68,2,spring_barley,2,KAS,0.01,31
71,2,spring_barley,1,PK,0.001,32
71,2,spring_barley,2,KAS,0.01,31
73,2,spring_barley,1,PK,0.001,32
73,2,spring_barley,2,KAS,0.01,31
74,2,spring_barley,1,PK,0.001,32
74,2,spring_barley,2,KAS,0.01,31
75,2,spring_barley,1,PK,0.001,32
75,2,spring_barley,2,KAS,0.01,31
76,2,spring_barley,1,PK,0.001,32
76,2,spring_barley,2,KAS,0.01,31
77,2,spring_barley,1,PK,0.001,32
77,2,spring_barley,2,KAS,0.01,31
78,2,spring_barley,1,PK,0.001,32
78,2,spring_barley,2,KAS,0.01,31
80,2,spring_barley,1,PK,0.001,32
80,2,spring_barley,2,KAS,0.01,31
81,2,spring_barley,1,PK,0.001,32
81,2,spring_barley,2,KAS,0.01,31
82,2,spring_barley,1,PK,0.001,32
82,2,spring_barley,2,KAS,0.01,31
83,2,spring_barley,1,PK,0.001,32
83,2,spring_barley,2,KAS,0.01,31
84,2,spring_barley,1,PK,0.001,32
84,2,spring_barley,2,KAS,0.01,31
85,2,spring_barley,1,PK,0.001,32
85,2,spring_barley,2,KAS,0.01,31
86,2,spring_barley,1,PK,0.001,32
86,2,spring_barley,2,KAS,0.01,31
87,2,spring_barley,1,PK,0.001,32
87,2,spring_barley,2,KAS,0.01,31
88,2,spring_barley,1,PK,0.001,32
88,2,spring_barley,2,KAS,0.01,31
89,2,spring_barley,1,PK,0.001,32
89,2,spring_barley,2,KAS,0.01,31
91,2,spring_barley,1,PK,0.001,32
91,2,spring_barley,2,KAS,0.01,31
92,2,spring_barley,1,PK,0.001,32
92,2,spring_barley,2,KAS,0.01,31
93,2,spring_barley,1,PK,0.001,32
93,2,spring_barley,2,KAS,0.01,31
95,2,spring_barley,1,PK,0.001,32
95,2,spring_barley,2,KAS,0.01,31
96,2,spring_barley,1,PK,0.001,32
96,2,spring_barley,2,KAS,0.01,31
98,2,spring_barley,1,PK,0.001,32
98,2,spring_barley,2,KAS,0.01,31
100,2,spring_barley,1,PK,0.001,32
100,2,spring_barley,2,KAS,0.01,31
101,2,spring_barley,1,PK,0.001,32
101,2,spring_barley,2,KAS,0.01,31
102,2,spring_barley,1,PK,0.001,32
102,2,spring_barley,2,KAS,0.01,31
104,2,spring_barley,1,PK,0.001,32
104,2,spring_barley,2,KAS,0.01,31
106,2,spring_barley,1,PK,0.001,32
106,2,spring_barley,2,KAS,0.01,31
107,2,spring_barley,1,PK,0.001,32
107,2,spring_barley,2,KAS,0.01,31
112,2,spring_barley,1,PK,0.001,32
112,2,spring_barley,2,KAS,0.01,31
113,2,spring_barley,1,PK,0.001,32
113,2,spring_barley,2,KAS,0.01,31
114,2,spring_barley,1,PK,0.001,32
114,2,spring_barley,2,KAS,0.01,31
116,2,spring_barley,1,PK,0.001,32
116,2,spring_barley,2,KAS,0.01,31
119,2,spring_barley,1,PK,0.001,32
119,2,spring_barley,2,KAS,0.01,31
120,2,spring_barley,1,PK,0.001,32
120,2,spring_barley,2,KAS,0.01,31
121,2,spring_barley,1,PK,0.001,32
121,2,spring_barley,2,KAS,0.01,31
123,2,spring_barley,1,PK,0.001,32
123,2,spring_barley,2,KAS,0.01,31
124,2,spring_barley,1,PK,0.001,32
124,2,spring_barley,2,KAS,0.01,31
125,2,spring_barley,1,PK,0.001,32
125,2,spring_barley,2,KAS,0.01,31
126,2,spring_barley,1,PK,0.001,32
126,2,spring_barley,2,KAS,0.01,31
127,2,spring_barley,1,PK,0.001,32
127,2,spring_barley,2,KAS,0.01,31
128,2,spring_barley,1,PK,0.001,32
128,2,spring_barley,2,KAS,0.01,31
129,2,spring_barley,1,PK,0.001,32
129,2,spring_barley,2,KAS,0.01,31
131,2,spring_barley,1,PK,0.001,32
131,2,spring_barley,2,KAS,0.01,31
132,2,spring_barley,1,PK,0.001,32
132,2,spring_barley,2,KAS,0.01,31
134,2,spring_barley,1,PK,0.001,32
134,2,spring_barley,2,KAS,0.01,31
136,2,spring_barley,1,PK,0.001,32
136,2,spring_barley,2,KAS,0.01,31
137,2,spring_barley,1,PK,0.001,32
137,2,spring_barley,2,KAS,0.01,31
138,2,spring_barley,1,PK,0.001,32
138,2,spring_barley,2,KAS,0.01,31
140,2,spring_barley,1,PK,0.001,32
140,2,spring_barley,2,KAS,0.01,31
141,2,spring_barley,1,PK,0.001,32
141,2,spring_barley,2,KAS,0.01,31
144,2,spring_barley,1,PK,0.001,32
144,2,spring_barley,2,KAS,0.01,31
145,2,spring_barley,1,PK,0.001,32
145,2,spring_barley,2,KAS,0.01,31
146,2,spring_barley,1,PK,0.001,32
146,2,spring_barley,2,KAS,0.01,31
147,2,spring_barley,1,PK,0.001,32
147,2,spring_barley,2,KAS,0.01,31
148,2,spring_barley,1,PK,0.001,32
148,2,spring_barley,2,KAS,0.01,31
149,2,spring_barley,1,PK,0.001,32
149,2,spring_barley,2,KAS,0.01,31
150,2,spring_barley,1,PK,0.001,32
150,2,spring_barley,2,KAS,0.01,31
151,2,spring_barley,1,PK,0.001,32
151,2,spring_barley,2,KAS,0.01,31
152,2,spring_barley,1,PK,0.001,32
152,2,spring_barley,2,KAS,0.01,31
153,2,spring_barley,1,PK,0.001,32
153,2,spring_barley,2,KAS,0.01,31
155,2,spring_barley,1,PK,0.001,32
155,2,spring_barley,2,KAS,0.01,31
156,2,spring_barley,1,PK,0.001,32
156,2,spring_barley,2,KAS,0.01,31
158,2,spring_barley,1,PK,0.001,32
158,2,spring_barley,2,KAS,0.01,31
160,2,spring_barley,1,PK,0.001,32
160,2,spring_barley,2,KAS,0.01,31
161,2,spring_barley,1,PK,0.001,32
161,2,spring_barley,2,KAS,0.01,31
162,2,spring_barley,1,PK,0.001,32
162,2,spring_barley,2,KAS,0.01,31
166,2,spring_barley,1,PK,0.001,32
166,2,spring_barley,2,KAS,0.01,31
167,2,spring_barley,1,PK,0.001,32
167,2,spring_barley,2,KAS,0.01,31
170,2,spring_barley,1,PK,0.001,32
170,2,spring_barley,2,KAS,0.01,31
171,2,spring_barley,1,PK,0.001,32
171,2,spring_barley,2,KAS,0.01,31
172,2,spring_barley,1,PK,0.001,32
172,2,spring_barley,2,KAS,0.01,31
175,2,spring_barley,1,PK,0.001,32
175,2,spring_barley,2,KAS,0.01,31
176,2,spring_barley,1,PK,0.001,32
176,2,spring_barley,2,KAS,0.01,31
177,2,spring_barley,1,PK,0.001,32
177,2,spring_barley,2,KAS,0.01,31
179,2,spring_barley,1,PK,0.001,32
179,2,spring_barley,2,KAS,0.01,31
181,2,spring_barley,1,PK,0.001,32
181,2,spring_barley,2,KAS,0.01,31
182,2,spring_barley,1,PK,0.001,32
182,2,spring_barley,2,KAS,0.01,31
183,2,spring_barley,1,PK,0.001,32
183,2,spring_barley,2,KAS,0.01,31
185,2,spring_barley,1,PK,0.001,32
185,2,spring_barley,2,KAS,0.01,31
186,2,spring_barley,1,PK,0.001,32
186,2,spring_barley,2,KAS,0.01,31
187,2,spring_barley,1,PK,0.001,32
