location,FertilizerScenario,crop,Event,vType,DVS,Amount
296,2,spring_barley,1,PK,0.001,32
296,2,spring_barley,2,KAS,0.01,31
297,2,spring_barley,1,PK,0.001,32
297,2,spring_barley,2,KAS,0.01,31
298,2,spring_barley,1,PK,0.001,32
298,2,spring_barley,2,KAS,0.01,31
299,2,spring_barley,1,PK,0.001,32
299,2,spring_barley,2,KAS,0.01,31
300,2,spring_barley,1,PK,0.001,32
300,2,spring_barley,2,KAS,0.01,31
301,2,spring_barley,1,PK,0.001,32
301,2,spring_barley,2,KAS,0.01,31
302,2,spring_barley,1,PK,0.001,32
302,2,spring_barley,2,KAS,0.01,31
303,2,spring_barley,1,PK,0.001,32
303,2,spring_barley,2,KAS,0.01,31
304,2,spring_barley,1,PK,0.001,32
304,2,spring_barley,2,KAS,0.01,31
305,2,spring_barley,1,PK,0.001,32
305,2,spring_barley,2,KAS,0.01,31
306,2,spring_barley,1,PK,0.001,32
306,2,spring_barley,2,KAS,0.01,31
307,2,spring_barley,1,PK,0.001,32
307,2,spring_barley,2,KAS,0.01,31
308,2,spring_barley,1,PK,0.001,32
308,2,spring_barley,2,KAS,0.01,31
309,2,spring_barley,1,PK,0.001,32
309,2,spring_barley,2,KAS,0.01,31
310,2,spring_barley,1,PK,0.001,32
310,2,spring_barley,2,KAS,0.01,31
312,2,spring_barley,1,PK,0.001,32
312,2,spring_barley,2,KAS,0.01,31
313,2,spring_barley,1,PK,0.001,32
313,2,spring_barley,2,KAS,0.01,31
314,2,spring_barley,1,PK,0.001,32
314,2,spring_barley,2,KAS,0.01,31
315,2,spring_barley,1,PK,0.001,32
315,2,spring_barley,2,KAS,0.01,31
316,2,spring_barley,1,PK,0.001,32
316,2,spring_barley,2,KAS,0.01,31
317,2,spring_barley,1,PK,0.001,32
317,2,spring_barley,2,KAS,0.01,31
318,2,spring_barley,1,PK,0.001,32
318,2,spring_barley,2,KAS,0.01,31
319,2,spring_barley,1,PK,0.001,32
319,2,spring_barley,2,KAS,0.01,31
320,2,spring_barley,1,PK,0.001,32
320,2,spring_barley,2,KAS,0.01,31
