location,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
296,6,0.2606299671762314,0.3962567179013853,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.302567577352189,0.2991785558314748,0.2812248471389942,0.2650512887249133,0.2603349557756715,0.2503806039031141,0.2342171644883153,0.2317850704304739,0.2155876315448103,0.2057031782881374,0.202739086171652,0.19327433425389,0.1658667516244417,0.1643915850294731,0.1499504159506265,0.1463550678513615,0.1451432165676324,0.1361680646046658,0.4597910351354998,0.4567528060338556,0.4348875672163302,0.3972330935202499,0.3907854298041758,0.3831313683824153,0.302567577352189,0.2991785558314748,0.2812248471389942,0.2650512887249133,0.2603349557756715,0.2503806039031141,1.3,1.35,1.43,1.56,1.58,1.6,20.9,21.5,21.6,22.9,23.1,21.5,4.49,2.14,1.19,0.42,0.33,0.37,5,4,3,2,1,0,5,4,3,2,1,0,40.9,40.8,40.0,40.9,42.9,45.4,0.149512548565201,0.1482513532011554,0.1345644127658962,0.1321115581114456,0.1312420695763204,0.1226351166510356,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
297,6,0.2941315604570106,0.4000527863004889,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.317526885494278,0.3367931192711386,0.3138499462773342,0.2876641797450944,0.288795801682484,0.2898123981740714,0.2494038219844844,0.2760159399934851,0.2504411650639181,0.2275867255498484,0.2303725561041856,0.2348809557496478,0.1812807584746908,0.2152387607158316,0.187032383850502,0.1675092713546024,0.1719493105258872,0.1799495133252241,0.4533628712051218,0.4469031472118254,0.4368464506530544,0.397315331616499,0.3954266462187727,0.3898548887491223,0.317526885494278,0.3367931192711386,0.3138499462773342,0.2876641797450944,0.288795801682484,0.2898123981740714,1.33,1.39,1.44,1.57,1.58,1.6,24.3,27.4,27.0,24.9,26.2,27.9,4.14,3.09,1.17,0.49,0.3,0.24,5,4,3,2,1,0,5,4,3,2,1,0,27.5,25.9,28.5,29.7,30.0,31.3,0.1644522110857892,0.1990184794480458,0.1709105066972282,0.152450561099698,0.1570892439752588,0.1655887145519816,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
298,6,0.3301273407406895,0.4420510010883099,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.385159730956488,0.3820059152883973,0.3739175418860648,0.3315902412671099,0.318114857174993,0.3199854568716749,0.3167120512044145,0.3066724959254528,0.3023871200620522,0.2646078320945282,0.2525874374864323,0.2574388273910359,0.2482643714523409,0.2313390765625083,0.2308566982380396,0.1976254229219466,0.1870600177978716,0.1948921979103968,0.5134781385488509,0.5148174784244283,0.5018687752208831,0.4495205034247103,0.4303222112912458,0.4246809955796907,0.385159730956488,0.3820059152883973,0.3739175418860648,0.3315902412671099,0.318114857174993,0.3199854568716749,1.11,1.18,1.23,1.4,1.46,1.48,26.1,27.4,29.5,27.0,25.6,27.0,8.7,3.13,2.45,1.54,1.39,1.41,5,4,3,2,1,0,5,4,3,2,1,0,13.6,12.9,18.0,19.4,20.1,20.4,0.2298953478460005,0.211866431431061,0.2121523960295083,0.1805178038307194,0.1704597851148878,0.1786642510222973,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
299,6,0.3100802237815183,0.4175918531946271,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3292664692213005,0.3463274367302476,0.3245472397239734,0.3087241841264594,0.3057003797924283,0.3054848873154416,0.2550003974740941,0.2772490726176427,0.2543433710375824,0.2448529005516595,0.2433032748280012,0.2441022477518989,0.1807343257268877,0.2081707085050378,0.1841395023511913,0.1809816169768595,0.1809061698635741,0.1827196081883563,0.4764311060449692,0.4723966817607587,0.4553249830150367,0.4178020858584725,0.4094460851252579,0.4067046756510295,0.3292664692213005,0.3463274367302476,0.3245472397239734,0.3087241841264594,0.3057003797924283,0.3054848873154416,1.26,1.32,1.38,1.51,1.54,1.55,24.2,26.9,25.3,26.6,27.0,27.4,3.66,2.21,1.31,0.59,0.37,0.32,5,4,3,2,1,0,5,4,3,2,1,0,20.8,20.1,21.7,21.8,21.7,21.8,0.1628429685725795,0.1904458214822024,0.1668195316806352,0.1648386775349417,0.1650219611509133,0.1669789216054186,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
300,6,0.3160195791748576,0.4055488202763364,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3491660383685903,0.3476827593224788,0.3318262794505909,0.3139637048109905,0.3123933089598626,0.310892203554207,0.2818318235727371,0.2830165250709474,0.2642615597720985,0.2521844641086193,0.2554023612435001,0.2529404908648357,0.2144976087768839,0.2183502908194161,0.1966968400936061,0.1904052234062481,0.1984114135271375,0.1949887781754645,0.4692952433185325,0.4556933250467864,0.4470503101104769,0.4071997329713948,0.3928283872906188,0.3957147245578301,0.3491660383685903,0.3476827593224788,0.3318262794505909,0.3139637048109905,0.3123933089598626,0.310892203554207,1.27,1.37,1.41,1.55,1.6,1.59,27.0,27.7,27.0,28.0,29.4,29.0,5.73,2.75,1.41,0.43,0.29,0.27,5,4,3,2,1,0,5,4,3,2,1,0,17.3,16.4,17.1,16.8,16.6,17.7,0.1969588568459309,0.2012200309770624,0.1794774719825469,0.1743433699640309,0.183091859290597,0.1795689584900679,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
301,6,0.2891972411137447,0.4002699647258619,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3315063073300005,0.3340040543034873,0.3250583765273798,0.2975037341186616,0.2841704733821532,0.2767406953630739,0.2610273578494415,0.2645264974628346,0.2574558608371549,0.2360199289964902,0.2279718481771963,0.2181899915954493,0.1905484083688825,0.1950489406221818,0.18985334514693,0.1745361238743188,0.1717732229722393,0.1596392878278246,0.4771642795797686,0.4753759983659321,0.4633809842455696,0.4158219680373279,0.3849232799592874,0.3809210656043933,0.3315063073300005,0.3340040543034873,0.3250583765273798,0.2975037341186616,0.2841704733821532,0.2767406953630739,1.24,1.29,1.33,1.5,1.6,1.61,21.9,22.7,22.9,24.5,24.3,21.9,5.58,3.25,2.98,1.35,1.1,1.09,5,4,3,2,1,0,5,4,3,2,1,0,30.3,29.6,31.1,30.8,32.8,32.9,0.1730688194267687,0.1776279411206444,0.1729105166667454,0.1590711878723829,0.1573306378998192,0.1450489430509326,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
302,6,0.2253538857892939,0.3706041896023772,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2668958403084673,0.2228480807976121,0.2201290367411381,0.2263318355608772,0.2261073718341405,0.2237163165703132,0.198035466708072,0.159876139138787,0.1616141476490158,0.1717453436155282,0.1729606747216638,0.1715030600416152,0.1291750931076767,0.0969041974799618,0.1030992585568936,0.1171588516701792,0.1198139776091872,0.1192898035129173,0.4602691959609164,0.4261506413784821,0.3955374649901453,0.374256631278222,0.3662905548957259,0.3574560241785815,0.2668958403084673,0.2228480807976121,0.2201290367411381,0.2263318355608772,0.2261073718341405,0.2237163165703132,1.28,1.42,1.53,1.61,1.64,1.67,14.7,12.9,15.5,18.9,19.8,19.4,4.73,2.09,1.36,0.72,0.42,0.31,5,4,3,2,1,0,5,4,3,2,1,0,59.3,60.6,58.1,55.6,55.1,54.9,0.114147269335787,0.0842787144722404,0.0907149059150657,0.1047293206405624,0.1075086937258598,0.1071448628281863,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
303,6,0.2330578246624357,0.3990027042065833,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2743760685828394,0.2239148624244836,0.2301447878334616,0.2339573003698059,0.2342045112180987,0.2316146468800806,0.2057659551742489,0.1599997548664807,0.1696958922026322,0.1748840939921138,0.1770420316093652,0.1757589818308472,0.1371558417656584,0.0960846473084778,0.1092469965718028,0.1158108876144217,0.1198795520006317,0.1199033167816138,0.457993816802264,0.4341572263124537,0.4102616016147307,0.405627117070689,0.3981823490109574,0.3891896799740088,0.2743760685828394,0.2239148624244836,0.2301447878334616,0.2339573003698059,0.2342045112180987,0.2316146468800806,1.28,1.39,1.48,1.5,1.53,1.56,13.9,12.3,15.8,17.7,19.7,19.8,5.93,2.32,1.72,1.4,0.92,0.83,5,4,3,2,1,0,5,4,3,2,1,0,59.9,62.0,57.5,56.5,56.1,56.1,0.1218192287451458,0.0833939528937154,0.0963080353745364,0.102775167198408,0.1069645421783059,0.1071846551036772,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
304,6,0.3273001353464735,0.4146910798982658,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3467436357558154,0.3457565030852168,0.3235155968899343,0.3323386066482763,0.3261543428280503,0.3239967799374414,0.2831596563993136,0.28549229971915,0.2622039595306392,0.274057429632954,0.2702429765508651,0.2701623288051803,0.2195756770428118,0.2252280963530832,0.200892322171344,0.2157762526176315,0.2143316102736799,0.2163278776729192,0.4574219303813757,0.4461364159816479,0.4190560133841539,0.4264803793737098,0.4149185100852636,0.4051275018254566,0.3467436357558154,0.3457565030852168,0.3235155968899343,0.3323386066482763,0.3261543428280503,0.3239967799374414,1.3,1.38,1.46,1.45,1.5,1.53,26.9,26.3,22.5,26.7,28.6,28.8,6.73,4.46,4.55,3.61,2.54,2.66,5,4,3,2,1,0,5,4,3,2,1,0,22.0,22.1,24.5,22.8,22.3,21.9,0.2026731047627661,0.2088870612444522,0.184728168082149,0.1999903218777073,0.1990616356468623,0.2014385489231449,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
305,6,0.2534370672714213,0.4407486971354998,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3541256055380807,0.2696995837969501,0.2854661606509687,0.2538591687288091,0.2488028791815186,0.2436990694973481,0.2727209248434163,0.1935430586118546,0.2186268359376365,0.1901990904905227,0.1863770900512866,0.1815787566969244,0.191316244148752,0.1173865334267591,0.1517875112243043,0.1265390122522363,0.1239513009210547,0.1194584438965007,0.5628441322582077,0.4999932031026916,0.464333960971196,0.4374850803840606,0.434261171417046,0.4287557805201039,0.3541256055380807,0.2696995837969501,0.2854661606509687,0.2538591687288091,0.2488028791815186,0.2436990694973481,0.93,1.16,1.26,1.35,1.36,1.38,8.8,9.4,9.7,9.5,10.1,9.7,9.85,4.33,7.82,6.22,5.79,5.59,5,4,3,2,1,0,5,4,3,2,1,0,65.2,64.7,66.1,67.5,68.3,67.9,0.1725235541072594,0.1019752486264842,0.1367321908486965,0.1130447848805422,0.1107549996852811,0.1065242267588226,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
