projectid;simulationid;vColumn;vRow;vLocationID;vNUTS_ID;vNUTS_NAME;vSTATE_NAME;start_date;end_date;vIDPL;vYear
1;C485R649;485;649;296;DE235;Cham;Bayern;2017-01-01;2017-12-31;90;2017
2;C463R712;463;712;297;DE227;Landshut, Landkreis;Bayern;2017-01-01;2017-12-31;86;2017
3;C179R390;179;390;298;DEA5B;Soest;Nordrhein-Westfalen;2017-01-01;2017-12-31;95;2017
4;C126R594;126;594;299;DEB14;Bad Kreuznach;Rheinland-Pfalz;2017-01-01;2017-12-31;87;2017
5;C215R484;215;484;300;DE725;Vogelsbergkreis;Hessen;2017-01-01;2017-12-31;80;2017
6;C361R776;361;776;301;DE21E;Landsberg am Lech;Bayern;2017-01-01;2017-12-31;88;2017
7;C396R104;396;104;302;DE80K;Landkreis Rostock;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;93;2017
8;C526R163;526;163;303;DE80J;Mecklenburgische Seenplatte;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;81;2017
9;C394R336;394;336;304;DEE07;Börde;Sachsen-Anhalt;2017-01-01;2017-12-31;75;2017
10;C265R66;265;66;305;DEF0B;Rendsburg-Eckernförde;Schleswig-Holstein;2017-01-01;2017-12-31;101;2017
11;C412R339;412;339;306;DEE0C;Salzlandkreis;Sachsen-Anhalt;2017-01-01;2017-12-31;75;2017
12;C233R451;233;451;307;DE735;Schwalm-Eder-Kreis;Hessen;2017-01-01;2017-12-31;79;2017
13;C313R215;313;215;308;DE93A;Uelzen;Niedersachsen;2017-01-01;2017-12-31;72;2017
14;C523R128;523;128;309;DE80N;Vorpommern-Greifswald;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;95;2017
15;C441R143;441;143;310;DE80K;Landkreis Rostock;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;76;2017
16;C471R427;471;427;312;DED52;Leipzig;Sachsen;2017-01-01;2017-12-31;87;2017
17;C516R337;516;337;313;DE40H;Teltow-Fläming;Brandenburg;2017-01-01;2017-12-31;88;2017
18;C341R134;341;134;314;DE80M;Nordwestmecklenburg;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;83;2017
19;C166R570;166;570;315;DEB35;Mainz, Kreisfreie Stadt;Rheinland-Pfalz;2017-01-01;2017-12-31;77;2017
20;C161R521;161;521;316;DE723;Limburg-Weilburg;Hessen;2017-01-01;2017-12-31;74;2017
21;C408R309;408;309;317;DEE06;Jerichower Land;Sachsen-Anhalt;2017-01-01;2017-12-31;81;2017
22;C255R291;255;291;318;DE929;Region Hannover;Niedersachsen;2017-01-01;2017-12-31;83;2017
23;C227R227;227;227;319;DE93B;Verden;Niedersachsen;2017-01-01;2017-12-31;86;2017
24;C560R211;560;211;320;DE40I;Uckermark;Brandenburg;2017-01-01;2017-12-31;81;2017
25;C482R436;482;436;321;DED43;Mittelsachsen;Sachsen;2017-01-01;2017-12-31;87;2017
26;C269R506;269;506;322;DE732;Fulda;Hessen;2017-01-01;2017-12-31;72;2017
27;C423R215;423;215;323;DE40F;Prignitz;Brandenburg;2017-01-01;2017-12-31;86;2017
28;C237R481;237;481;324;DE725;Vogelsbergkreis;Hessen;2017-01-01;2017-12-31;78;2017
29;C253R36;253;36;325;DEF0C;Schleswig-Flensburg;Schleswig-Holstein;2017-01-01;2017-12-31;101;2017
30;C37R607;37;607;326;DEB25;Trier-Saarburg;Rheinland-Pfalz;2017-01-01;2017-12-31;73;2017
31;C554R206;554;206;327;DE40I;Uckermark;Brandenburg;2017-01-01;2017-12-31;81;2017
32;C524R187;524;187;328;DE40I;Uckermark;Brandenburg;2017-01-01;2017-12-31;81;2017
33;C155R525;155;525;329;DE723;Limburg-Weilburg;Hessen;2017-01-01;2017-12-31;74;2017
34;C178R218;178;218;330;DE94D;Oldenburg, Landkreis;Niedersachsen;2017-01-01;2017-12-31;90;2017
35;C148R592;148;592;331;DEB3B;Alzey-Worms;Rheinland-Pfalz;2017-01-01;2017-12-31;98;2017
36;C308R631;308;631;332;DE256;Ansbach, Landkreis;Bayern;2017-01-01;2017-12-31;75;2017
37;C180R462;180;462;333;DE724;Marburg-Biedenkopf;Hessen;2017-01-01;2017-12-31;79;2017
38;C500R102;500;102;334;DE80N;Vorpommern-Greifswald;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;95;2017
39;C363R401;363;401;335;DEE0A;Mansfeld-Südharz;Sachsen-Anhalt;2017-01-01;2017-12-31;83;2017
40;C433R508;433;508;336;DED44;Vogtlandkreis;Sachsen;2017-01-01;2017-12-31;89;2017
41;C351R179;351;179;337;DE80O;Ludwigslust-Parchim;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;75;2017
42;C251R230;251;230;338;DE937;Rotenburg (Wümme);Niedersachsen;2017-01-01;2017-12-31;90;2017
43;C301R582;301;582;339;DE268;Kitzingen;Bayern;2017-01-01;2017-12-31;77;2017
44;C313R505;313;505;340;DEG0Q;Schmalkalden-Meiningen;Thüringen;2017-01-01;2017-12-31;86;2017
45;C290R252;290;252;341;DE931;Celle;Niedersachsen;2017-01-01;2017-12-31;74;2017
46;C422R152;422;152;342;DE80O;Ludwigslust-Parchim;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;76;2017
47;C216R274;216;274;343;DE927;Nienburg (Weser);Niedersachsen;2017-01-01;2017-12-31;74;2017
48;C305R543;305;543;344;DE265;Bad Kissingen;Bayern;2017-01-01;2017-12-31;75;2017
49;C161R333;161;333;345;DEA42;Gütersloh;Nordrhein-Westfalen;2017-01-01;2017-12-31;88;2017
50;C214R280;214;280;346;DE927;Nienburg (Weser);Niedersachsen;2017-01-01;2017-12-31;88;2017
51;C343R453;343;453;348;DEG0C;Gotha;Thüringen;2017-01-01;2017-12-31;75;2017
52;C447R226;447;226;349;DE40D;Ostprignitz-Ruppin;Brandenburg;2017-01-01;2017-12-31;89;2017
53;C537R417;537;417;350;DED2E;Meißen;Sachsen;2017-01-01;2017-12-31;84;2017
54;C523R713;523;713;351;DE228;Passau, Landkreis;Bayern;2017-01-01;2017-12-31;83;2017
55;C547R709;547;709;352;DE222;Passau, Kreisfreie Stadt;Bayern;2017-01-01;2017-12-31;83;2017
56;C228R340;228;340;353;DEA45;Lippe;Nordrhein-Westfalen;2017-01-01;2017-12-31;83;2017
57;C268R224;268;224;354;DE938;Heidekreis;Niedersachsen;2017-01-01;2017-12-31;98;2017
58;C365R630;365;630;355;DE254;Nürnberg, Kreisfreie Stadt;Bayern;2017-01-01;2017-12-31;74;2017
59;C439R109;439;109;356;DE80K;Landkreis Rostock;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;95;2017
60;C255R796;255;796;357;DE148;Ravensburg;Baden-Württemberg;2017-01-01;2017-12-31;76;2017
61;C450R146;450;146;358;DE80K;Landkreis Rostock;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;76;2017
62;C439R464;439;464;359;DEG02;Gera, Kreisfreie Stadt;Thüringen;2017-01-01;2017-12-31;90;2017
63;C568R209;568;209;360;DE40I;Uckermark;Brandenburg;2017-01-01;2017-12-31;81;2017
64;C363R419;363;419;361;DEG0D;Sömmerda;Thüringen;2017-01-01;2017-12-31;72;2017
65;C277R189;277;189;362;DE933;Harburg;Niedersachsen;2017-01-01;2017-12-31;103;2017
66;C52R501;52;501;363;DEA28;Euskirchen;Nordrhein-Westfalen;2017-01-01;2017-12-31;74;2017
67;C331R530;331;530;364;DE266;Rhön-Grabfeld;Bayern;2017-01-01;2017-12-31;74;2017
68;C552R358;552;358;365;DE40B;Oberspreewald-Lausitz;Brandenburg;2017-01-01;2017-12-31;88;2017
69;C312R516;312;516;366;DE266;Rhön-Grabfeld;Bayern;2017-01-01;2017-12-31;74;2017
70;C529R166;529;166;368;DE80J;Mecklenburgische Seenplatte;Mecklenburg-Vorpommern;2017-01-01;2017-12-31;81;2017
71;C385R465;385;465;369;DEG0G;Weimarer Land;Thüringen;2017-01-01;2017-12-31;88;2017
