year,month,average
2015,1,403.3649123
2015,2,404.0679957
2015,3,404.5877086
2015,4,404.8267373
2015,5,403.9192811
2015,6,401.1857513
2015,7,397.6172072
2015,8,395.5743421
2015,9,396.7273101
2015,10,400.0629707
2015,11,403.0929007
2015,12,405.10152
2016,1,406.4437543
2016,2,407.3208407
2016,3,407.9920234
2016,4,408.3574086
2016,5,407.5465967
2016,6,404.8846511
2016,7,401.3036041
2016,8,399.1737211
2016,9,400.2317487
2016,10,403.4698825
2016,11,406.3997333
2016,12,408.3037383
2017,1,409.5413039
2017,2,410.3063677
2017,3,410.872975
2017,4,411.1442171
2017,5,410.2426386
2017,6,407.4935419
2017,7,403.8886825
2017,8,401.8054871
2017,9,402.9185144
2017,10,406.2209808
2017,11,409.2178306
2017,12,411.1819108
2018,1,412.4723717
2018,2,413.2837731
2018,3,413.889074
2018,4,414.1892849
2018,5,413.2987237
2018,6,410.5452451
2018,7,406.9485885
2018,8,404.8956158
2018,9,406.0355183
2018,10,409.365002
2018,11,412.3850569
2018,12,414.361746
2019,1,415.6583517
2019,2,416.4686532
2019,3,417.0688338
2019,4,417.3603396
2019,5,416.4501974
2019,6,413.6682131
2019,7,410.0646779
2019,8,408.0353363
2019,9,409.1999485
2019,10,412.5580145
2019,11,415.6056962
2019,12,417.6013297
2020,1,418.9113095
2020,2,419.7285398
2020,3,420.3314046
2020,4,420.621025
2020,5,419.6966026
2020,6,416.8900036
2020,7,413.2821226
2020,8,411.2778376
2020,9,412.4676934
2020,10,415.8541493
2020,11,418.9285959
2020,12,420.9416589
2021,1,422.2629576
2021,2,423.0847516
2021,3,423.6877287
2021,4,423.9728058
2021,5,423.0313407
2021,6,420.1972782
2021,7,416.5835013
2021,8,414.6041184
2021,9,415.8190544
2021,10,419.233747
2021,11,422.3347374
2021,12,424.3648262
2022,1,425.6961018
2022,2,426.5217607
2022,3,427.1240711
2022,4,427.4037294
2022,5,426.4443174
2022,6,423.5818715
2022,7,419.9605024
2022,8,418.0035032
2022,9,419.2410107
2022,10,422.6814539
2022,11,425.8066123
2022,12,427.8515762
2023,1,429.1916072
2023,2,430.0194544
2023,3,430.6196401
2023,4,430.8926802
2023,5,429.9143293
2023,6,427.022712
2023,7,423.3934435
2023,8,421.4590561
2023,9,422.7195583
2023,10,426.1863623
2023,11,429.336399
2023,12,431.3969315
2024,1,432.7461468
2024,2,433.5768024
2024,3,434.1754311
2024,4,434.4423288
2024,5,433.4453666
2024,6,430.5247673
