location,FertilizerScenario,crop,Event,vType,DVS,Amount
2,2,winter_rapeseed,1,PK,0.001,35
2,2,winter_rapeseed,2,KAS,0.4,24
2,2,winter_rapeseed,3,KAS,0.8,20
3,2,winter_rapeseed,1,PK,0.001,35
3,2,winter_rapeseed,2,KAS,0.4,24
3,2,winter_rapeseed,3,KAS,0.8,20
4,2,winter_rapeseed,1,PK,0.001,35
4,2,winter_rapeseed,2,KAS,0.4,24
4,2,winter_rapeseed,3,KAS,0.8,20
5,2,winter_rapeseed,1,PK,0.001,35
5,2,winter_rapeseed,2,KAS,0.4,24
5,2,winter_rapeseed,3,KAS,0.8,20
6,2,winter_rapeseed,1,PK,0.001,35
6,2,winter_rapeseed,2,KAS,0.4,24
6,2,winter_rapeseed,3,KAS,0.8,20
7,2,winter_rapeseed,1,PK,0.001,35
7,2,winter_rapeseed,2,KAS,0.4,24
7,2,winter_rapeseed,3,KAS,0.8,20
8,2,winter_rapeseed,1,PK,0.001,35
8,2,winter_rapeseed,2,KAS,0.4,24
8,2,winter_rapeseed,3,KAS,0.8,20
10,2,winter_rapeseed,1,PK,0.001,35
10,2,winter_rapeseed,2,KAS,0.4,24
10,2,winter_rapeseed,3,KAS,0.8,20
11,2,winter_rapeseed,1,PK,0.001,35
11,2,winter_rapeseed,2,KAS,0.4,24
11,2,winter_rapeseed,3,KAS,0.8,20
14,2,winter_rapeseed,1,PK,0.001,35
14,2,winter_rapeseed,2,KAS,0.4,24
14,2,winter_rapeseed,3,KAS,0.8,20
16,2,winter_rapeseed,1,PK,0.001,35
16,2,winter_rapeseed,2,KAS,0.4,24
16,2,winter_rapeseed,3,KAS,0.8,20
17,2,winter_rapeseed,1,PK,0.001,35
17,2,winter_rapeseed,2,KAS,0.4,24
17,2,winter_rapeseed,3,KAS,0.8,20
18,2,winter_rapeseed,1,PK,0.001,35
18,2,winter_rapeseed,2,KAS,0.4,24
18,2,winter_rapeseed,3,KAS,0.8,20
19,2,winter_rapeseed,1,PK,0.001,35
19,2,winter_rapeseed,2,KAS,0.4,24
19,2,winter_rapeseed,3,KAS,0.8,20
20,2,winter_rapeseed,1,PK,0.001,35
20,2,winter_rapeseed,2,KAS,0.4,24
20,2,winter_rapeseed,3,KAS,0.8,20
21,2,winter_rapeseed,1,PK,0.001,35
21,2,winter_rapeseed,2,KAS,0.4,24
21,2,winter_rapeseed,3,KAS,0.8,20
22,2,winter_rapeseed,1,PK,0.001,35
22,2,winter_rapeseed,2,KAS,0.4,24
22,2,winter_rapeseed,3,KAS,0.8,20
23,2,winter_rapeseed,1,PK,0.001,35
23,2,winter_rapeseed,2,KAS,0.4,24
23,2,winter_rapeseed,3,KAS,0.8,20
