location,FertilizerScenario,crop,Event,vType,DVS,Amount
1455,2,winter_rapeseed,1,PK,0.001,35
1455,2,winter_rapeseed,2,KAS,0.4,24
1455,2,winter_rapeseed,3,KAS,0.8,20
1456,2,winter_rapeseed,1,PK,0.001,35
1456,2,winter_rapeseed,2,KAS,0.4,24
1456,2,winter_rapeseed,3,KAS,0.8,20
1457,2,winter_rapeseed,1,PK,0.001,35
1457,2,winter_rapeseed,2,KAS,0.4,24
1457,2,winter_rapeseed,3,KAS,0.8,20
1458,2,winter_rapeseed,1,PK,0.001,35
1458,2,winter_rapeseed,2,KAS,0.4,24
1458,2,winter_rapeseed,3,KAS,0.8,20
1459,2,winter_rapeseed,1,PK,0.001,35
1459,2,winter_rapeseed,2,KAS,0.4,24
1459,2,winter_rapeseed,3,KAS,0.8,20
1461,2,winter_rapeseed,1,PK,0.001,35
1461,2,winter_rapeseed,2,KAS,0.4,24
1461,2,winter_rapeseed,3,KAS,0.8,20
1463,2,winter_rapeseed,1,PK,0.001,35
1463,2,winter_rapeseed,2,KAS,0.4,24
1463,2,winter_rapeseed,3,KAS,0.8,20
1464,2,winter_rapeseed,1,PK,0.001,35
1464,2,winter_rapeseed,2,KAS,0.4,24
1464,2,winter_rapeseed,3,KAS,0.8,20
1465,2,winter_rapeseed,1,PK,0.001,35
1465,2,winter_rapeseed,2,KAS,0.4,24
1465,2,winter_rapeseed,3,KAS,0.8,20
1466,2,winter_rapeseed,1,PK,0.001,35
1466,2,winter_rapeseed,2,KAS,0.4,24
1466,2,winter_rapeseed,3,KAS,0.8,20
1467,2,winter_rapeseed,1,PK,0.001,35
1467,2,winter_rapeseed,2,KAS,0.4,24
1467,2,winter_rapeseed,3,KAS,0.8,20
1470,2,winter_rapeseed,1,PK,0.001,35
1470,2,winter_rapeseed,2,KAS,0.4,24
1470,2,winter_rapeseed,3,KAS,0.8,20
1471,2,winter_rapeseed,1,PK,0.001,35
1471,2,winter_rapeseed,2,KAS,0.4,24
1471,2,winter_rapeseed,3,KAS,0.8,20
1472,2,winter_rapeseed,1,PK,0.001,35
1472,2,winter_rapeseed,2,KAS,0.4,24
1472,2,winter_rapeseed,3,KAS,0.8,20
1473,2,winter_rapeseed,1,PK,0.001,35
1473,2,winter_rapeseed,2,KAS,0.4,24
1473,2,winter_rapeseed,3,KAS,0.8,20
1474,2,winter_rapeseed,1,PK,0.001,35
1474,2,winter_rapeseed,2,KAS,0.4,24
1474,2,winter_rapeseed,3,KAS,0.8,20
1475,2,winter_rapeseed,1,PK,0.001,35
1475,2,winter_rapeseed,2,KAS,0.4,24
1475,2,winter_rapeseed,3,KAS,0.8,20
1476,2,winter_rapeseed,1,PK,0.001,35
1476,2,winter_rapeseed,2,KAS,0.4,24
1476,2,winter_rapeseed,3,KAS,0.8,20
1477,2,winter_rapeseed,1,PK,0.001,35
1477,2,winter_rapeseed,2,KAS,0.4,24
1477,2,winter_rapeseed,3,KAS,0.8,20
1478,2,winter_rapeseed,1,PK,0.001,35
1478,2,winter_rapeseed,2,KAS,0.4,24
1478,2,winter_rapeseed,3,KAS,0.8,20
1479,2,winter_rapeseed,1,PK,0.001,35
1479,2,winter_rapeseed,2,KAS,0.4,24
1479,2,winter_rapeseed,3,KAS,0.8,20
1480,2,winter_rapeseed,1,PK,0.001,35
