location,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
1455,6,0.3005220289827685,0.4173440893796876,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3620987721835658,0.3451166835832041,0.3390663016407137,0.29920498146936,0.2945322319476271,0.2899931185320724,0.2983401981286058,0.2793341244134337,0.2743723197660093,0.2388876596026191,0.2366522539490461,0.2331230789948672,0.2345816240736457,0.2135515652436632,0.2096783378913049,0.1785703377358783,0.1787722759504651,0.176253039457662,0.4846717383763616,0.47629654019115,0.4677444413751898,0.4183679795292265,0.4095420218131748,0.4033360690311257,0.3620987721835658,0.3451166835832041,0.3390663016407137,0.29920498146936,0.2945322319476271,0.2899931185320724,1.2,1.29,1.32,1.49,1.52,1.54,24.9,25.8,26.1,25.2,26.0,25.9,8.77,3.36,3.07,1.49,1.28,1.17,5,4,3,2,1,0,5,4,3,2,1,0,30.8,30.2,30.4,32.8,34.7,35.8,0.2174411192223654,0.1964081179858149,0.1928274454708933,0.1632400628081053,0.1639049757544737,0.161637218160793,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1456,6,0.2895417161149523,0.4061177366630676,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.31235380921272,0.3225514868318794,0.3115610231362344,0.2860953220142646,0.287325782348371,0.2837175300720177,0.2451917304714257,0.25877356047192,0.249433869686943,0.2243546827562547,0.2270593974443824,0.2254443312483361,0.1780296517301315,0.1949956341119607,0.1873067162376515,0.1626140434982448,0.1667930125403938,0.1671711324246545,0.4533000969110448,0.4466658741823798,0.4324479730734873,0.4058453887921614,0.4008300131342808,0.397951063209961,0.31235380921272,0.3225514868318794,0.3115610231362344,0.2860953220142646,0.287325782348371,0.2837175300720177,1.34,1.4,1.45,1.54,1.56,1.57,26.0,26.5,26.6,24.3,25.3,26.0,3.35,1.91,1.41,0.55,0.38,0.24,5,4,3,2,1,0,5,4,3,2,1,0,30.4,28.6,29.7,31.5,30.7,33.4,0.1614881303878244,0.1786235160041717,0.1714234831785225,0.1474192714290847,0.1517361107337995,0.152492873374603,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1457,6,0.3478538490607573,0.4205721755898584,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3644884062736773,0.3736024287585911,0.3712624803765482,0.3418543400777604,0.3436037332819234,0.3444358675393919,0.3041996828513147,0.3160388262001747,0.3143696120072083,0.2916978746557872,0.2945562985847676,0.297240531363718,0.2439109594289521,0.2584752236417583,0.2574767436378684,0.241541409233814,0.2455088638876118,0.2500451951880441,0.4661380717581107,0.4649797992757847,0.4620788890767702,0.4156254497675961,0.4142598933733211,0.4116360420231099,0.3644884062736773,0.3736024287585911,0.3712624803765482,0.3418543400777604,0.3436037332819234,0.3444358675393919,1.29,1.36,1.38,1.54,1.55,1.56,34.9,36.6,38.6,38.9,40.4,41.7,5.92,2.34,1.64,0.53,0.32,0.31,5,4,3,2,1,0,5,4,3,2,1,0,16.1,15.6,17.3,17.5,16.8,17.1,0.2272833418964475,0.2422171967144918,0.2413889426456629,0.2271430609747591,0.2313140634788557,0.2362421580771087,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1458,6,0.3201188303094941,0.4206089079759457,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3999786065118358,0.3890612006726837,0.3656148520635183,0.31762791830094,0.3091761118532249,0.3075315621850283,0.3338265582682796,0.3155103973134707,0.2952301431849994,0.254959715094862,0.248808141346772,0.2479704888398058,0.2676745100247234,0.2419595939542577,0.2248454343064806,0.192291511888784,0.1884401708403191,0.1884094154945833,0.5282114130732748,0.5205863854644324,0.4939512189474928,0.4219000656684325,0.4035116101151269,0.4006812601630801,0.3999786065118358,0.3890612006726837,0.3656148520635183,0.31762791830094,0.3091761118532249,0.3075315621850283,1.06,1.16,1.25,1.49,1.55,1.56,27.5,28.4,28.2,26.8,26.3,26.5,10.01,3.46,2.65,1.28,1.08,1.0,5,4,3,2,1,0,5,4,3,2,1,0,16.2,15.9,19.5,20.3,20.3,21.0,0.249510450088349,0.2226291506290854,0.2065052318175231,0.1760925674415453,0.1727263489218726,0.1728555715766638,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1459,6,0.3166549613840257,0.4047445862986514,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3525138940591725,0.3451129763475802,0.3385520881798732,0.3142807821406592,0.3109276102924629,0.3117348384441709,0.286261852758389,0.2807950395603438,0.2740373669106223,0.2562309797497372,0.2567049985904608,0.2578540132739143,0.2200098114576056,0.2164771027731073,0.2095226456413714,0.1981811773588152,0.2024823868884587,0.2039731881036576,0.475522164972456,0.4582311060694382,0.4533478997593909,0.406978996600291,0.3923301187722772,0.3928620222888294,0.3525138940591725,0.3451129763475802,0.3385520881798732,0.3142807821406592,0.3109276102924629,0.3117348384441709,1.25,1.36,1.39,1.55,1.6,1.6,27.6,27.5,29.1,29.6,30.5,31.0,6.0,2.78,1.62,0.58,0.42,0.35,5,4,3,2,1,0,5,4,3,2,1,0,21.1,20.4,21.1,21.0,20.8,20.8,0.2026015377429591,0.1994909715977341,0.1926426568360557,0.1827495524345842,0.1877246267795383,0.1892660222884778,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1461,6,0.2208149473914122,0.3783781198674554,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2644214961721957,0.2157310230464124,0.2119330172723518,0.2222787131431786,0.2273581994379162,0.2174188713606005,0.198036528268936,0.1555453435531495,0.1556721790853388,0.1670169990633288,0.1731456469842708,0.1638591764613931,0.1316515603656764,0.0953596640598867,0.0994113408983259,0.1117552849834791,0.1189330945306253,0.1102994815621857,0.4446538735963409,0.4067965956307543,0.3867590639825313,0.3864375869118356,0.3790312804659815,0.3682862386346954,0.2644214961721957,0.2157310230464124,0.2119330172723518,0.2222787131431786,0.2273581994379162,0.2174188713606005,1.32,1.47,1.55,1.56,1.59,1.63,14.1,11.7,15.1,18.3,19.5,18.7,5.97,3.07,1.6,1.1,0.9,0.37,5,4,3,2,1,0,5,4,3,2,1,0,62.3,64.5,62.0,59.5,57.3,57.4,0.1168719107365686,0.0831627797828078,0.0875156091902677,0.0994517603816079,0.1065040480199661,0.0982975441040545,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1463,6,0.3207409249874484,0.4134880699573819,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3397228789000824,0.3601617105906569,0.3526260863488218,0.318259619027409,0.3152385438799628,0.3140123187582959,0.272939508557578,0.3006202420548279,0.2939770579540511,0.259627473749505,0.2583984985614302,0.2592850753481313,0.2061561382150736,0.2410787735189989,0.2353280295592804,0.2009953284716009,0.2015584532428976,0.2045578319379666,0.4625146245609796,0.4577132236916326,0.4507165049414459,0.414172432307925,0.4085543206515601,0.4027981526233332,0.3397228789000824,0.3601617105906569,0.3526260863488218,0.318259619027409,0.3152385438799628,0.3140123187582959,1.3,1.38,1.4,1.53,1.55,1.57,27.6,33.7,33.0,30.6,31.2,31.9,4.86,2.12,2.09,0.48,0.33,0.26,5,4,3,2,1,0,5,4,3,2,1,0,20.3,17.1,19.5,21.2,22.5,22.9,0.1889235264223857,0.2246355347355428,0.2191796626521203,0.1854090644198765,0.1863330884759115,0.1897152837963734,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1464,6,0.2201496859802048,0.39907660850397,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.318613106505714,0.2527803154341704,0.2383978392899047,0.2252189179367678,0.2160902416170847,0.2093292371703568,0.2416269246741186,0.1828106872478335,0.1742293709831684,0.1642111311499222,0.1569587621954551,0.1522477394756417,0.1646407428425233,0.1128410590614966,0.1100609026764322,0.1032033443630765,0.0978272827738254,0.0951662417809266,0.5148618992716745,0.4619897784187843,0.4228738843663283,0.4025054494406999,0.3908864679096298,0.3856738395514666,0.318613106505714,0.2527803154341704,0.2383978392899047,0.2252189179367678,0.2160902416170847,0.2093292371703568,1.09,1.29,1.42,1.5,1.54,1.56,10.9,10.2,11.8,13.4,13.4,14.5,7.98,4.19,3.82,2.27,1.83,1.23,5,4,3,2,1,0,5,4,3,2,1,0,59.8,60.6,59.8,57.6,58.6,60.1,0.1469604959341308,0.0984555848258074,0.0965685450936509,0.0904734171413678,0.0856201157953519,0.0833710443337275,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1465,6,0.2879765623608673,0.3997227540175704,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3267386392600289,0.3243108045131093,0.3111022852162494,0.2905461088147799,0.2859265724861064,0.2789853078861083,0.2576097050847939,0.2585872640673663,0.2471372153304195,0.2319746143759717,0.2317518887155381,0.2244455617348706,0.1884807709095589,0.1928637236216233,0.1831721454445896,0.1734031199371634,0.1775772049449698,0.1699058155836329,0.4799267398242796,0.4643326336576745,0.4460390405812108,0.4061364237127713,0.3886891980678262,0.3847934452500159,0.3267386392600289,0.3243108045131093,0.3111022852162494,0.2905461088147799,0.2859265724861064,0.2789853078861083,1.24,1.33,1.4,1.54,1.6,1.61,24.1,24.7,25.7,26.5,27.8,26.5,4.73,2.6,1.62,0.61,0.33,0.29,5,4,3,2,1,0,5,4,3,2,1,0,36.4,35.3,34.3,33.6,34.4,36.0,0.1713342331356145,0.1762175740716089,0.1670818022645666,0.1585227827304071,0.1634361239792004,0.1558660574269896,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
1466,6,0.3332719451335383,0.4296418869309825,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3611389926568364,0.3584046323103749,0.33451354270866,0.3388032271207418,0.3311187946772956,0.3283809599897574,0.2851610544766186,0.2810865760273446,0.2713491505827929,0.2859375033959623,0.2805412097019561,0.278214815294648,0.2091831162964007,0.2037685197443142,0.2081847584569257,0.2330717796711829,0.2299636247266166,0.2280486705995385,0.5220885615612139,0.512218782527149,0.4624285364580286,0.4344818854407621,0.4195209135896574,0.4144402559943935,0.3611389926568364,0.3584046323103749,0.33451354270866,0.3388032271207418,0.3311187946772956,0.3283809599897574,1.11,1.19,1.35,1.46,1.51,1.53,26.0,25.9,28.9,36.9,36.7,36.8,4.92,2.04,1.99,1.2,1.01,0.77,5,4,3,2,1,0,5,4,3,2,1,0,29.0,27.6,32.3,29.1,28.1,27.3,0.190235911292555,0.1846841266337828,0.1916767322443595,0.2182870714791511,0.2157178216438871,0.2139096959197094,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
