projectid;simulationid;vColumn;vRow;vLocationID;vNUTS_ID;vNUTS_NAME;vSTATE_NAME;start_date;end_date;vIDPL;vYear
1;C412R534;412;534;1455;DE249;Hof, Landkreis;Bayern;2016-01-01;2017-12-31;241;2017
2;C392R693;392;693;1456;DE219;Eichstätt;Bayern;2016-01-01;2017-12-31;234;2017
3;C283R665;283;665;1457;DE11A;Schwäbisch Hall;Baden-Württemberg;2016-01-01;2017-12-31;237;2017
4;C187R388;187;388;1458;DEA47;Paderborn;Nordrhein-Westfalen;2016-01-01;2017-12-31;236;2017
5;C97R568;97;568;1459;DEB1D;Rhein-Hunsrück-Kreis;Rheinland-Pfalz;2016-01-01;2017-12-31;237;2017
6;C467R108;467;108;1461;DE80L;Vorpommern-Rügen;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;235;2017
7;C257R646;257;646;1463;DE119;Hohenlohekreis;Baden-Württemberg;2016-01-01;2017-12-31;231;2017
8;C314R176;314;176;1464;DEF06;Herzogtum Lauenburg;Schleswig-Holstein;2016-01-01;2017-12-31;244;2017
9;C380R734;380;734;1465;DE275;Aichach-Friedberg;Bayern;2016-01-01;2017-12-31;256;2017
10;C249R327;249;327;1466;DE923;Hameln-Pyrmont;Niedersachsen;2016-01-01;2017-12-31;239;2017
11;C428R501;428;501;1467;DED44;Vogtlandkreis;Sachsen;2016-01-01;2017-12-31;251;2017
12;C388R448;388;448;1470;DEG0G;Weimarer Land;Thüringen;2016-01-01;2017-12-31;244;2017
13;C214R237;214;237;1471;DE922;Diepholz;Niedersachsen;2016-01-01;2017-12-31;242;2017
14;C365R145;365;145;1472;DE80M;Nordwestmecklenburg;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;231;2017
15;C137R276;137;276;1473;DE94E;Osnabrück, Landkreis;Niedersachsen;2016-01-01;2017-12-31;223;2017
16;C310R131;310;131;1474;DEF0D;Segeberg;Schleswig-Holstein;2016-01-01;2017-12-31;239;2017
17;C175R592;175;592;1475;DEB3B;Alzey-Worms;Rheinland-Pfalz;2016-01-01;2017-12-31;254;2017
18;C421R440;421;440;1476;DEE08;Burgenlandkreis;Sachsen-Anhalt;2016-01-01;2017-12-31;245;2017
19;C318R345;318;345;1477;DE916;Goslar;Niedersachsen;2016-01-01;2017-12-31;228;2017
20;C378R136;378;136;1478;DE80M;Nordwestmecklenburg;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;231;2017
21;C472R479;472;479;1479;DED45;Zwickau;Sachsen;2016-01-01;2017-12-31;242;2017
22;C487R275;487;275;1480;DE408;Havelland;Brandenburg;2016-01-01;2017-12-31;241;2017
23;C311R309;311;309;1481;DE91A;Peine;Niedersachsen;2016-01-01;2017-12-31;245;2017
24;C291R194;291;194;1482;DE933;Harburg;Niedersachsen;2016-01-01;2017-12-31;251;2017
25;C459R241;459;241;1483;DE40D;Ostprignitz-Ruppin;Brandenburg;2016-01-01;2017-12-31;235;2017
26;C103R652;103;652;1484;DEB3K;Südwestpfalz;Rheinland-Pfalz;2016-01-01;2017-12-31;242;2017
27;C373R360;373;360;1485;DEE09;Harz;Sachsen-Anhalt;2016-01-01;2017-12-31;234;2017
28;C54R478;54;478;1486;DEA26;Düren;Nordrhein-Westfalen;2016-01-01;2017-12-31;241;2017
29;C511R165;511;165;1487;DE80J;Mecklenburgische Seenplatte;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;228;2017
30;C398R454;398;454;1488;DEG03;Jena, Kreisfreie Stadt;Thüringen;2016-01-01;2017-12-31;221;2017
31;C254R40;254;40;1489;DEF0C;Schleswig-Flensburg;Schleswig-Holstein;2016-01-01;2017-12-31;242;2017
32;C146R598;146;598;1490;DEB3D;Donnersbergkreis;Rheinland-Pfalz;2016-01-01;2017-12-31;239;2017
33;C379R749;379;749;1491;DE217;Dachau;Bayern;2016-01-01;2017-12-31;238;2017
34;C545R174;545;174;1492;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;231;2017
35;C518R203;518;203;1493;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;234;2017
36;C110R557;110;557;1494;DEB1D;Rhein-Hunsrück-Kreis;Rheinland-Pfalz;2016-01-01;2017-12-31;236;2017
37;C283R562;283;562;1495;DE26A;Main-Spessart;Bayern;2016-01-01;2017-12-31;236;2017
38;C71R590;71;590;1496;DEB25;Trier-Saarburg;Rheinland-Pfalz;2016-01-01;2017-12-31;258;2017
39;C283R782;283;782;1497;DE146;Biberach;Baden-Württemberg;2016-01-01;2017-12-31;242;2017
40;C561R452;561;452;1498;DED2F;Sächsische Schweiz-Osterzgebirge;Sachsen;2016-01-01;2017-12-31;239;2017
41;C497R77;497;77;1499;DE80L;Vorpommern-Rügen;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;229;2017
42;C391R381;391;381;1500;DEE0A;Mansfeld-Südharz;Sachsen-Anhalt;2016-01-01;2017-12-31;229;2017
43;C228R471;228;471;1501;DE725;Vogelsbergkreis;Hessen;2016-01-01;2017-12-31;236;2017
44;C268R737;268;737;1502;DE145;Alb-Donau-Kreis;Baden-Württemberg;2016-01-01;2017-12-31;236;2017
45;C557R207;557;207;1503;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;232;2017
46;C535R165;535;165;1504;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;227;2017
47;C367R158;367;158;1505;DE80M;Nordwestmecklenburg;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;234;2017
48;C358R347;358;347;1506;DEE09;Harz;Sachsen-Anhalt;2016-01-01;2017-12-31;234;2017
49;C466R649;466;649;1507;DE235;Cham;Bayern;2016-01-01;2017-12-31;243;2017
50;C231R335;231;335;1508;DE923;Hameln-Pyrmont;Niedersachsen;2016-01-01;2017-12-31;217;2017
51;C344R296;344;296;1509;DE913;Wolfsburg, Kreisfreie Stadt;Niedersachsen;2016-01-01;2017-12-31;238;2017
52;C486R412;486;412;1510;DED52;Leipzig;Sachsen;2016-01-01;2017-12-31;238;2017
53;C94R533;94;533;1511;DEB1C;Cochem-Zell;Rheinland-Pfalz;2016-01-01;2017-12-31;246;2017
54;C513R163;513;163;1512;DE80J;Mecklenburgische Seenplatte;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;228;2017
55;C315R409;315;409;1513;DEG06;Eichsfeld;Thüringen;2016-01-01;2017-12-31;234;2017
56;C384R698;384;698;1514;DE21I;Neuburg-Schrobenhausen;Bayern;2016-01-01;2017-12-31;234;2017
57;C108R346;108;346;1515;DEA35;Coesfeld;Nordrhein-Westfalen;2016-01-01;2017-12-31;243;2017
58;C431R181;431;181;1516;DE80O;Ludwigslust-Parchim;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;233;2017
59;C404R636;404;636;1517;DE236;Neumarkt i. d. OPf.;Bayern;2016-01-01;2017-12-31;239;2017
60;C453R616;453;616;1518;DE239;Schwandorf;Bayern;2016-01-01;2017-12-31;234;2017
61;C393R454;393;454;1519;DEG0G;Weimarer Land;Thüringen;2016-01-01;2017-12-31;221;2017
62;C414R118;414;118;1520;DE80K;Landkreis Rostock;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;231;2017
63;C354R145;354;145;1521;DE80M;Nordwestmecklenburg;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;237;2017
64;C583R442;583;442;1522;DED2F;Sächsische Schweiz-Osterzgebirge;Sachsen;2016-01-01;2017-12-31;234;2017
65;C393R679;393;679;1523;DE219;Eichstätt;Bayern;2016-01-01;2017-12-31;234;2017
66;C250R199;250;199;1524;DE937;Rotenburg (Wümme);Niedersachsen;2016-01-01;2017-12-31;239;2017
67;C417R244;417;244;1525;DEE0D;Stendal;Sachsen-Anhalt;2016-01-01;2017-12-31;243;2017
68;C83R454;83;454;1526;DEA23;Köln, Kreisfreie Stadt;Nordrhein-Westfalen;2016-01-01;2017-12-31;237;2017
69;C324R415;324;415;1527;DEG0A;Kyffhäuserkreis;Thüringen;2016-01-01;2017-12-31;228;2017
70;C114R806;114;806;1528;DE132;Breisgau-Hochschwarzwald;Baden-Württemberg;2016-01-01;2017-12-31;251;2017
71;C198R238;198;238;1529;DE922;Diepholz;Niedersachsen;2016-01-01;2017-12-31;242;2017
72;C453R88;453;88;1530;DE80L;Vorpommern-Rügen;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;240;2017
73;C434R169;434;169;1531;DE80O;Ludwigslust-Parchim;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;233;2017
74;C425R656;425;656;1532;DE238;Regensburg, Landkreis;Bayern;2016-01-01;2017-12-31;238;2017
75;C304R224;304;224;1533;DE93A;Uelzen;Niedersachsen;2016-01-01;2017-12-31;236;2017
76;C431R325;431;325;1534;DEE06;Jerichower Land;Sachsen-Anhalt;2016-01-01;2017-12-31;235;2017
77;C355R126;355;126;1535;DE80M;Nordwestmecklenburg;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;234;2017
78;C368R388;368;388;1536;DEE0A;Mansfeld-Südharz;Sachsen-Anhalt;2016-01-01;2017-12-31;235;2017
79;C404R396;404;396;1537;DEE0A;Mansfeld-Südharz;Sachsen-Anhalt;2016-01-01;2017-12-31;229;2017
