location,Latitude,SunInclination,Altitude
0,49.10326587178202,-4,10
2,51.211869181916086,-4,10
3,50.0417285857311,-4,10
4,50.80791973479041,-4,10
5,54.0989611941458,-4,10
6,53.4639623525114,-4,10
7,47.92423951795662,-4,10
8,52.75475753974725,-4,10
9,53.84829165337056,-4,10
10,51.94653585863353,-4,10
11,53.37476419198401,-4,10
12,53.54996804170684,-4,10
13,54.269861805275774,-4,10
14,52.7143174023637,-4,10
15,53.785962315046994,-4,10
16,49.69880516289879,-4,10
17,51.38185587396581,-4,10
18,52.54362804593607,-4,10
19,54.296909346814175,-4,10
20,52.1360433825898,-4,10
21,52.09538359688312,-4,10
22,53.37588507600794,-4,10
23,52.79529593949928,-4,10
24,49.501679325298966,-4,10
25,51.46036449143963,-4,10
26,48.0768573171088,-4,10
27,50.93048129057068,-4,10
28,47.785683895234925,-4,10
29,52.92084492898557,-4,10
30,50.60826714655819,-4,10
31,49.96625581061338,-4,10
32,52.96523862650139,-4,10
33,50.252064003921255,-4,10
34,52.82245357852034,-4,10
35,49.90226679216744,-4,10
36,50.07733639826742,-4,10
37,50.85000432845926,-4,10
38,54.00738357581528,-4,10
39,51.82101876597003,-4,10
40,50.35482033838748,-4,10
41,49.03241368896761,-4,10
42,53.481825264477465,-4,10
43,52.85457746774988,-4,10
44,51.93034255250716,-4,10
45,53.64520222736292,-4,10
46,52.28651512301195,-4,10
47,48.524263275233736,-4,10
48,48.58316819451392,-4,10
49,52.15758861479637,-4,10
50,52.10370140361041,-4,10
51,51.461955681601005,-4,10
52,50.69335220095912,-4,10
53,52.91432052389291,-4,10
54,48.44965665768972,-4,10
55,51.73003354072117,-4,10
56,48.83419359580513,-4,10
58,49.29428573583775,-4,10
59,50.36918303105478,-4,10
60,54.08602334851248,-4,10
61,48.19544085029481,-4,10
62,51.2332319632432,-4,10
63,53.82419064223107,-4,10
64,50.953912339486585,-4,10
65,51.20258782020501,-4,10
66,48.85288573543808,-4,10
67,52.90546028577641,-4,10
68,52.931302207215616,-4,10
69,50.165058944122976,-4,10
70,50.365197013867984,-4,10
71,51.6936493983194,-4,10
72,48.10590338439631,-4,10
73,50.71096652607516,-4,10
74,47.7441166768735,-4,10
75,53.59518013770747,-4,10
76,50.1468710954987,-4,10
77,53.870329575072525,-4,10
78,53.64162886857064,-4,10
79,54.645503643324176,-4,10
80,53.44672986997232,-4,10
81,53.49770823032039,-4,10
82,52.41658501640523,-4,10
83,49.354546697986144,-4,10
84,53.71132961511741,-4,10
85,51.84846868046611,-4,10
86,51.77681825016872,-4,10
87,52.54660201697149,-4,10
88,50.5417606547642,-4,10
89,49.93933168584548,-4,10
90,49.50227553205016,-4,10
91,50.08441802935099,-4,10
92,52.03410501248571,-4,10
93,52.13226379367132,-4,10
94,52.44176895931338,-4,10
95,51.82250826184292,-4,10
96,53.8701461516509,-4,10
97,51.82685196754602,-4,10
98,51.99219187279221,-4,10
99,53.29624761804298,-4,10
100,53.03402888572051,-4,10
101,47.59729185395253,-4,10
102,51.25437359679938,-4,10
103,52.11275019003804,-4,10
104,48.28186974879041,-4,10
105,53.79649159054177,-4,10
106,51.94117008971208,-4,10
107,48.36653976391242,-4,10
108,50.061914987173004,-4,10
109,53.70624090018264,-4,10
