location,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
0,6,0.2986929770386518,0.4068069788319452,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3280966058636765,0.3315969033776578,0.3211506171376328,0.2995595182123448,0.2979119734173742,0.2906161960450559,0.2570862968272769,0.2644979500095652,0.2559244713406285,0.2414767959735156,0.2429829255652572,0.2364184296740864,0.1860759877908773,0.1973989966414726,0.1906983255436243,0.1833940737346865,0.1880538777131401,0.1822206633031169,0.477688516039924,0.4647472604301866,0.4518401506381524,0.4086515851668217,0.3999219276813205,0.3929145366005779,0.3280966058636765,0.3315969033776578,0.3211506171376328,0.2995595182123448,0.2979119734173742,0.2906161960450559,1.26,1.34,1.39,1.54,1.57,1.59,25.9,26.0,27.2,28.6,29.8,28.8,3.67,2.11,1.34,0.39,0.28,0.24,5,4,3,2,1,0,5,4,3,2,1,0,28.4,28.2,29.7,30.3,31.3,33.1,0.1686319462725793,0.1803505209196285,0.1741655564192724,0.1683580978062229,0.1735449819353214,0.1679800015833839,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
2,6,0.3351847724543531,0.4518173942784798,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3732276467044313,0.3706350230303785,0.3624401094353329,0.3318456571169126,0.3317181538817244,0.3280376851673831,0.3003325198992724,0.2960290869115864,0.2949148852944464,0.2686932017668525,0.2691926210058014,0.2660267585337254,0.2274373930941134,0.2214231507927943,0.2273896611535598,0.2055407464167924,0.2066670881298783,0.2040158319000677,0.5183410345015439,0.509402665269753,0.4885064905372548,0.4479053763104911,0.4464763647587926,0.4405393379276545,0.3732276467044313,0.3706350230303785,0.3624401094353329,0.3318456571169126,0.3317181538817244,0.3280376851673831,1.11,1.19,1.27,1.41,1.42,1.44,26.0,25.4,29.7,29.6,30.8,30.6,6.47,3.35,2.43,1.3,0.98,0.87,5,4,3,2,1,0,5,4,3,2,1,0,19.6,18.3,23.8,24.4,24.8,24.4,0.2086083880234441,0.2023530523608818,0.2095855895095243,0.1890332124997507,0.1902611088300381,0.1877582494428464,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
3,6,0.2584083872037676,0.3935521111329605,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2997239644764802,0.2955650541124545,0.2722383381412028,0.2680280095882735,0.2612714513844037,0.2465213366210416,0.2298465166204308,0.2273941282107536,0.2054605579010708,0.2105952771842575,0.2051444134645634,0.1916498287712421,0.1599690687643814,0.1592232023090528,0.1386827776609388,0.1531625447802415,0.1490173755447232,0.1367783209214426,0.4621199083480812,0.4556520236721372,0.4358040964674279,0.396579829248229,0.3873434375721237,0.3791510862078709,0.2997239644764802,0.2955650541124545,0.2722383381412028,0.2680280095882735,0.2612714513844037,0.2465213366210416,1.29,1.35,1.42,1.56,1.59,1.61,19.3,20.1,19.3,24.0,23.7,22.3,4.54,2.35,1.41,0.59,0.41,0.34,5,4,3,2,1,0,5,4,3,2,1,0,41.4,40.8,42.4,42.3,43.6,48.6,0.1435534535213474,0.1431170488823861,0.1235352221344105,0.1390575086153966,0.1352587212232625,0.1236148859862515,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
4,6,0.3189899790896839,0.4088693271526816,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3201229835365981,0.3184996054725731,0.3122219862859603,0.3251332612106393,0.3196427641238258,0.3178934664996644,0.2515213522121882,0.2523725459241713,0.2476032994792775,0.2734455265226603,0.2694189707791839,0.2698491853810519,0.1829197208877783,0.1862454863757694,0.1829846126725948,0.2217577918346814,0.219195177434542,0.2218049042624393,0.4650559473916107,0.4533405366241849,0.4424237329607881,0.412591573364606,0.4037870715589083,0.3974959426963008,0.3201229835365981,0.3184996054725731,0.3122219862859603,0.3251332612106393,0.3196427641238258,0.3178934664996644,1.29,1.37,1.42,1.54,1.57,1.59,23.9,24.1,26.4,35.9,35.8,36.5,4.41,2.29,1.18,0.47,0.27,0.27,5,4,3,2,1,0,5,4,3,2,1,0,31.9,31.1,30.4,25.9,26.2,26.9,0.1659921911716333,0.1696627128470406,0.1667549934006858,0.2073474056320522,0.2051414316150899,0.2082078832961471,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
5,6,0.1940216633279193,0.3646621746186975,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2577582775762097,0.1944528358480481,0.1926560021293711,0.1902441183530811,0.1941541261371934,0.1920768429120159,0.1915384764042147,0.1376883595685066,0.138656946581643,0.1352131387106687,0.1408883784153645,0.1385266729194536,0.1253186752322197,0.0809238832889652,0.084657891033915,0.0801821590682562,0.0876226306935356,0.0849765029268913,0.4469204921478627,0.4118853691367665,0.3860463145898872,0.3767264564404469,0.3594102928640547,0.3511007864500862,0.2577582775762097,0.1944528358480481,0.1926560021293711,0.1902441183530811,0.1941541261371934,0.1920768429120159,1.31,1.46,1.55,1.59,1.65,1.68,10.3,8.9,10.5,13.4,14.5,13.3,5.96,1.77,1.32,0.6,0.43,0.33,5,4,3,2,1,0,5,4,3,2,1,0,65.6,66.6,65.2,63.0,62.0,60.9,0.1115395248177793,0.0710582633814754,0.0747816994642018,0.0694931819453061,0.0767130021225934,0.0741658671292604,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
6,6,0.1888969353405633,0.3731858348084481,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.2355722854449389,0.1845351539537608,0.1780115589027567,0.1832346485298757,0.1880752129481186,0.1906595274398798,0.1728391461277731,0.1303890279579706,0.1268150505189839,0.1325340303388123,0.1381684200843544,0.142510346340177,0.1101060068106074,0.0762429019621803,0.0756185421352112,0.081833412147749,0.0882616272205902,0.0943611652404742,0.4353900766965946,0.413547431311158,0.388271576095063,0.3813585192505802,0.3733038076650325,0.3612776073955042,0.2355722854449389,0.1845351539537608,0.1780115589027567,0.1832346485298757,0.1880752129481186,0.1906595274398798,1.34,1.44,1.53,1.56,1.59,1.63,10.1,8.6,9.6,12.0,13.9,15.7,5.57,2.12,1.5,0.93,0.67,0.48,5,4,3,2,1,0,5,4,3,2,1,0,71.9,72.9,71.3,69.2,68.1,68.0,0.0976089581941886,0.0670115779716625,0.0667130174986411,0.0725122658231476,0.0786023450917652,0.0845599251634855,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
7,6,0.3127001558805362,0.4333769564085244,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3433822068513219,0.3450222918568474,0.3311884089511828,0.3179159651050559,0.315185847968719,0.3026015821711397,0.2752309977258265,0.2787200407760327,0.2634321089292061,0.256587747450672,0.254006579671505,0.2411363140602943,0.207079788600331,0.212417789695218,0.1956758089072293,0.1952595297962882,0.1928273113742909,0.1796710459494489,0.4796650575840479,0.4703237086193864,0.4641201536332093,0.4324169353376295,0.4291246665431741,0.424745318812368,0.3433822068513219,0.3450222918568474,0.3311884089511828,0.3179159651050559,0.315185847968719,0.3026015821711397,1.25,1.33,1.35,1.46,1.47,1.48,28.2,28.7,27.0,28.9,28.5,26.9,4.58,1.97,1.56,0.99,0.97,0.85,5,4,3,2,1,0,5,4,3,2,1,0,25.5,24.8,26.9,27.0,27.1,31.5,0.1896142289970482,0.1951635755091085,0.1785382024915419,0.1793338229253002,0.1769807718366318,0.1641017735854092,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
8,6,0.1876611572875886,0.4148104461847812,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3055347324259237,0.2154298397480652,0.2196723710896032,0.1987898197929669,0.1742504838917686,0.1762145988210364,0.2325897903442581,0.1522667822348677,0.1584279132466963,0.1421211537396475,0.1227926205606363,0.1253277533540992,0.1596448482625925,0.0891037247216702,0.0971834554037894,0.0854524876863281,0.071334757229504,0.074440907887162,0.4994650901212082,0.4647020657641394,0.4436202484166808,0.42670011101292,0.4032376005789359,0.4023293204891356,0.3055347324259237,0.2154298397480652,0.2196723710896032,0.1987898197929669,0.1742504838917686,0.1762145988210364,1.12,1.25,1.31,1.37,1.45,1.46,6.9,6.3,6.8,7.9,7.1,9.3,10.99,4.4,5.94,4.35,3.49,2.56,5,4,3,2,1,0,5,4,3,2,1,0,76.1,78.6,79.1,78.6,79.7,77.5,0.1433588751451221,0.0779832809922224,0.0856754635048133,0.0752566713598655,0.062764724163364,0.0656648721252038,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
9,6,0.3681914271081449,0.4545263180567888,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.4048790756601548,0.3886832385901181,0.3809897069383805,0.3879191287883805,0.3646243195279359,0.3578966540858248,0.3422369583241984,0.3332933407863681,0.3305389956463744,0.3351843546679904,0.3105750334775939,0.3039715273717291,0.2795948409882421,0.277903442982618,0.2800882843543684,0.2824495805476004,0.2565257474272519,0.2500464006576335,0.5356449334117902,0.4902427375434873,0.4592833014885524,0.4764797214592858,0.4512086228420499,0.4409262548907507,0.4048790756601548,0.3886832385901181,0.3809897069383805,0.3879191287883805,0.3646243195279359,0.3578966540858248,1.03,1.2,1.29,1.24,1.32,1.35,27.5,26.8,28.8,27.9,25.5,24.9,11.55,9.31,10.36,10.02,9.47,9.64,5,4,3,2,1,0,5,4,3,2,1,0,34.4,34.6,32.8,32.2,34.6,36.0,0.2620891238420721,0.2620255156093136,0.2652750581436773,0.2671100464248025,0.2411095198932811,0.234705133400056,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
10,6,0.335728137121757,0.4209242577577996,50,0.01,0.1,0.05,0.15,0.3,0.6,1.0,2.0,0.3749394053554391,0.3714134377626813,0.3720921457322301,0.33778945126293,0.3314015016235085,0.3258567023113568,0.3067346020484649,0.3005009261385012,0.3123281411291461,0.2845257940330454,0.2803362787806023,0.2731854177244391,0.2385297987414906,0.2295884145143211,0.2525641365260621,0.2312621368031608,0.2292710559376961,0.2205141331375213,0.4985634297916262,0.4923257839056047,0.4720289123937524,0.4220109561385149,0.4101077177589815,0.4062370548312475,0.3749394053554391,0.3714134377626813,0.3720921457322301,0.33778945126293,0.3314015016235085,0.3258567023113568,1.17,1.26,1.34,1.5,1.54,1.55,28.3,29.1,36.3,34.4,34.6,32.6,7.02,2.54,1.99,1.41,1.2,1.17,5,4,3,2,1,0,5,4,3,2,1,0,12.9,12.8,19.0,20.1,20.6,20.1,0.2203598011352776,0.2109958353035655,0.2359245791386373,0.2163264499892759,0.2148421566402121,0.2058312117933121,0.0425,0.0425,0.0425,0.0225,0.0225,0.0,0.05,0.15,0.3,0.6,1.0,2.0,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
