projectid;simulationid;vColumn;vRow;vLocationID;vNUTS_ID;vNUTS_NAME;vSTATE_NAME;start_date;end_date;vIDPL
1;C412R659;412;659;0;DE236;Neumarkt i. d. OPf.;Bayern;2016-01-01;2017-12-31;269
2;C213R428;213;428;2;DE736;Waldeck-Frankenberg;Hessen;2016-01-01;2017-12-31;273
3;C442R553;442;553;3;DE24D;Wunsiedel i. Fichtelgebirge;Bayern;2016-01-01;2017-12-31;275
4;C267R473;267;473;4;DE733;Hersfeld-Rotenburg;Hessen;2016-01-01;2017-12-31;283
5;C441R101;441;101;5;DE80K;Landkreis Rostock;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;277
6;C427R173;427;173;6;DE80O;Ludwigslust-Parchim;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;256
7;C123R793;123;793;7;DE132;Breisgau-Hochschwarzwald;Baden-Württemberg;2016-01-01;2017-12-31;304
8;C156R256;156;256;8;DE94F;Vechta;Niedersachsen;2016-01-01;2017-12-31;302
9;C261R134;261;134;9;DEF0E;Steinburg;Schleswig-Holstein;2016-01-01;2017-12-31;270
10;C251R346;251;346;10;DE926;Holzminden;Niedersachsen;2016-01-01;2017-12-31;276
11;C530R177;530;177;11;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;252
12;C253R167;253;167;12;DE939;Stade;Niedersachsen;2016-01-01;2017-12-31;249
13;C268R87;268;87;13;DEF0B;Rendsburg-Eckernförde;Schleswig-Holstein;2016-01-01;2017-12-31;266
14;C345R259;345;259;14;DEE04;Altmarkkreis Salzwedel;Sachsen-Anhalt;2016-01-01;2017-12-31;277
15;C240R141;240;141;15;DE939;Stade;Niedersachsen;2016-01-01;2017-12-31;281
16;C289R596;289;596;16;DE26C;Würzburg, Landkreis;Bayern;2016-01-01;2017-12-31;288
17;C221R409;221;409;17;DE736;Waldeck-Frankenberg;Hessen;2016-01-01;2017-12-31;273
18;C225R280;225;280;18;DE927;Nienburg (Weser);Niedersachsen;2016-01-01;2017-12-31;284
19;C473R77;473;77;19;DE80L;Vorpommern-Rügen;Mecklenburg-Vorpommern;2016-01-01;2017-12-31;248
20;C173R325;173;325;20;DE94E;Osnabrück, Landkreis;Niedersachsen;2016-01-01;2017-12-31;285
21;C352R328;352;328;21;DE917;Helmstedt;Niedersachsen;2016-01-01;2017-12-31;277
22;C553R175;553;175;22;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;252
23;C570R239;570;239;23;DE409;Märkisch-Oderland;Brandenburg;2016-01-01;2017-12-31;283
24;C66R616;66;616;24;DEC02;Merzig-Wadern;Saarland;2016-01-01;2017-12-31;284
25;C457R395;457;395;25;DED53;Nordsachsen;Sachsen;2016-01-01;2017-12-31;275
26;C216R776;216;776;26;DE137;Tuttlingen;Baden-Württemberg;2016-01-01;2017-12-31;280
27;C243R459;243;459;27;DE735;Schwalm-Eder-Kreis;Hessen;2016-01-01;2017-12-31;287
28;C203R809;203;809;28;DE138;Konstanz;Baden-Württemberg;2016-01-01;2017-12-31;280
29;C416R234;416;234;29;DE40F;Prignitz;Brandenburg;2016-01-01;2017-12-31;253
30;C197R495;197;495;30;DE721;Gießen, Landkreis;Hessen;2016-01-01;2017-12-31;287
31;C378R564;378;564;31;DE245;Bamberg, Landkreis;Bayern;2016-01-01;2017-12-31;284
32;C551R221;551;221;32;DE40I;Uckermark;Brandenburg;2016-01-01;2017-12-31;283
33;C219R535;219;535;33;DE71E;Wetteraukreis;Hessen;2016-01-01;2017-12-31;294
34;C410R245;410;245;34;DEE0D;Stendal;Sachsen-Anhalt;2016-01-01;2017-12-31;253
35;C137R573;137;573;35;DEB14;Bad Kreuznach;Rheinland-Pfalz;2016-01-01;2017-12-31;283
36;C325R553;325;553;36;DE267;Haßberge;Bayern;2016-01-01;2017-12-31;288
37;C460R462;460;462;37;DEG0M;Altenburger Land;Thüringen;2016-01-01;2017-12-31;278
38;C222R117;222;117;38;DEF05;Dithmarschen;Schleswig-Holstein;2016-01-01;2017-12-31;269
39;C498R352;498;352;39;DEE0E;Wittenberg;Sachsen-Anhalt;2016-01-01;2017-12-31;273
